global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
1232,1232,4928,0,1232,4928,1117.0,0.0,1117.0,1421,1421,822.3855519480519,29,0,50000,3000,4
1442,1442,5768,1,210,840,1100.0,0.0,1100.0,1199,1199,610.7809523809524,24,0,50000,3000,4
2703,2703,10812,2,1261,5044,1125.0,0.0,1125.0,1435,1435,780.7811260904044,29,0,50000,3000,4
2747,2747,10988,3,44,176,219.0,0.0,219.0,283,283,171.63636363636363,6,0,50000,3000,4
2904,2904,11616,4,157,628,631.0,0.0,631.0,716,722,461.5796178343949,15,0,50000,3000,4
3415,3415,13660,5,511,2044,1347.0,0.0,1347.0,1506,1506,781.9784735812133,31,0,50000,3000,4
5107,5107,20428,6,1692,6768,743.0,0.0,743.0,1138,1138,792.7712765957447,23,0,50000,3000,4
5225,5225,20900,7,118,472,584.0,0.0,584.0,664,664,411.864406779661,14,0,50000,3000,4
5266,5266,21064,8,41,164,227.0,0.0,227.0,291,291,163.14634146341464,6,0,50000,3000,4
5300,5300,21200,9,34,136,242.0,0.0,242.0,306,306,153.7058823529412,7,0,50000,3000,4
5465,5465,21860,10,165,660,808.0,0.0,808.0,896,899,518.0181818181818,18,0,50000,3000,4
5505,5505,22020,11,40,160,238.0,0.0,238.0,303,303,148.6,7,0,50000,3000,4
5712,5712,22848,12,207,828,764.0,0.0,764.0,861,861,538.0193236714975,18,0,50000,3000,4
5801,5801,23204,13,89,356,618.0,0.0,618.0,691,691,378.2134831460674,14,0,50000,3000,4
6223,6223,24892,14,422,1688,726.0,0.0,726.0,867,867,605.0758293838862,18,0,50000,3000,4
6411,6411,25644,15,188,752,630.0,0.0,630.0,722,723,434.0531914893617,15,0,50000,3000,4
6681,6681,26724,16,270,1080,789.0,0.0,789.0,897,898,631.7925925925925,18,0,50000,3000,4
6797,6797,27188,17,116,464,584.0,0.0,584.0,664,664,401.38793103448273,14,0,50000,3000,4
6983,6983,27932,18,186,744,806.0,0.0,806.0,898,898,588.3548387096774,18,0,50000,3000,4
