global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
195,195,780,0,195,780,572.0,0.0,572.0,667,667,436.08717948717947,14,0,1000000,3000,4
377,377,1508,1,182,728,631.0,0.0,631.0,722,723,408.0879120879121,15,0,1000000,3000,4
839,839,3356,2,462,1848,1370.0,0.0,1370.0,1520,1520,686.1536796536797,31,0,1000000,3000,4
877,877,3508,3,38,152,238.0,0.0,238.0,302,302,160.44736842105263,7,0,1000000,3000,4
1309,1309,5236,4,432,1728,1279.0,0.0,1279.0,1422,1422,712.7731481481482,29,0,1000000,3000,4
1376,1376,5504,5,67,268,611.0,0.0,611.0,681,681,314.1044776119403,14,0,1000000,3000,4
1515,1515,6060,6,139,556,737.0,0.0,737.0,822,822,523.9928057553957,17,0,1000000,3000,4
1593,1593,6372,7,78,312,633.0,0.0,633.0,706,706,380.11538461538464,15,0,1000000,3000,4
1683,1683,6732,8,90,360,617.0,0.0,617.0,690,690,395.18888888888887,14,0,1000000,3000,4
1867,1867,7468,9,184,736,1039.0,0.0,1039.0,1131,1131,618.1467391304348,23,0,1000000,3000,4
2135,2135,8540,10,268,1072,1019.0,0.0,1019.0,1128,1128,611.6194029850747,23,0,1000000,3000,4
2349,2349,9396,11,214,856,1037.0,0.0,1037.0,1136,1136,631.5560747663551,23,0,1000000,3000,4
2585,2585,10340,12,236,944,748.0,0.0,748.0,853,853,611.75,18,0,1000000,3000,4
2615,2615,10460,13,30,120,251.0,0.0,251.0,313,313,159.93333333333334,7,0,1000000,3000,4
2654,2654,10616,14,39,156,227.0,0.0,227.0,291,291,167.33333333333334,6,0,1000000,3000,4
2728,2728,10912,15,74,296,653.0,0.0,653.0,722,722,375.6216216216216,15,0,1000000,3000,4
2838,2838,11352,16,110,440,611.0,0.0,611.0,690,690,373.3090909090909,14,0,1000000,3000,4
2875,2875,11500,17,37,148,245.0,0.0,245.0,309,309,151.40540540540542,7,0,1000000,3000,4
3153,3153,12612,18,278,1112,788.0,0.0,788.0,898,898,648.1438848920864,18,0,1000000,3000,4
3432,3432,13728,19,279,1116,1303.0,0.0,1303.0,1414,1414,724.910394265233,29,0,1000000,3000,4
3586,3586,14344,20,154,616,724.0,0.0,724.0,812,812,493.02597402597405,17,0,1000000,3000,4
3745,3745,14980,21,159,636,1320.0,0.0,1320.0,1407,1407,693.5345911949686,29,0,1000000,3000,4
3823,3823,15292,22,78,312,636.0,0.0,636.0,708,708,396.8076923076923,15,0,1000000,3000,4
4180,4180,16720,23,357,1428,1001.0,0.0,1001.0,1128,1128,768.3361344537815,23,0,1000000,3000,4
4254,4254,17016,24,74,296,610.0,0.0,610.0,682,682,351.7027027027027,14,0,1000000,3000,4
4647,4647,18588,25,393,1572,1658.0,0.0,1658.0,1794,1794,790.3129770992366,36,0,1000000,3000,4
4679,4679,18716,26,32,128,244.0,0.0,244.0,307,307,165.09375,7,0,1000000,3000,4
4742,4742,18968,27,63,252,608.0,0.0,608.0,678,678,320.63492063492066,14,0,1000000,3000,4
4770,4770,19080,28,28,112,252.0,0.0,252.0,315,315,159.82142857142858,7,0,1000000,3000,4
4834,4834,19336,29,64,256,609.0,0.0,609.0,679,679,320.1875,14,0,1000000,3000,4
5049,5049,20196,30,215,860,1328.0,0.0,1328.0,1428,1428,698.2604651162791,29,0,1000000,3000,4
5078,5078,20312,31,29,116,251.0,0.0,251.0,314,314,154.89655172413794,7,0,1000000,3000,4
5348,5348,21392,32,270,1080,1417.0,0.0,1417.0,1528,1528,747.7444444444444,31,0,1000000,3000,4
5378,5378,21512,33,30,120,251.0,0.0,251.0,315,315,151.5,7,0,1000000,3000,4
5531,5531,22124,34,153,612,637.0,0.0,637.0,722,723,523.3464052287582,15,0,1000000,3000,4
5564,5564,22256,35,33,132,235.0,0.0,235.0,299,299,172.33333333333334,6,0,1000000,3000,4
5890,5890,23560,36,326,1304,1007.0,0.0,1007.0,1127,1127,720.8466257668712,23,0,1000000,3000,4
5928,5928,23712,37,38,152,246.0,0.0,246.0,311,311,144.0,7,0,1000000,3000,4
6126,6126,24504,38,198,792,1336.0,0.0,1336.0,1433,1433,752.9191919191919,29,0,1000000,3000,4
6161,6161,24644,39,35,140,239.0,0.0,239.0,303,303,160.0,7,0,1000000,3000,4
6200,6200,24800,40,39,156,234.0,0.0,234.0,298,298,162.7948717948718,6,0,1000000,3000,4
6310,6310,25240,41,110,440,753.0,0.0,753.0,832,832,510.77272727272725,17,0,1000000,3000,4
6391,6391,25564,42,81,324,651.0,0.0,651.0,722,722,370.8395061728395,15,0,1000000,3000,4
6420,6420,25680,43,29,116,247.0,0.0,247.0,310,310,153.06896551724137,7,0,1000000,3000,4
6506,6506,26024,44,86,344,636.0,0.0,636.0,711,711,389.83720930232556,15,0,1000000,3000,4
6608,6608,26432,45,102,408,608.0,0.0,608.0,686,686,404.4019607843137,14,0,1000000,3000,4
6639,6639,26556,46,31,124,251.0,0.0,251.0,315,315,151.16129032258064,7,0,1000000,3000,4
6674,6674,26696,47,35,140,251.0,0.0,251.0,315,315,146.68571428571428,7,0,1000000,3000,4
6710,6710,26840,48,36,144,240.0,0.0,240.0,305,305,161.61111111111111,7,0,1000000,3000,4
