global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.006565988063812256,72.37081909179688,1.9457459449768066,0.00017535407096147537,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.9874858311377466,126.39818638563156
256,256,1024,-0.00662611797451973,23.439746856689453,1.9448046684265137,0.0003583002835512161,0.0,0.0001,17,18,15,22,13,21,22,0,0,0,0,0,0.171875,1,0.03,0.018213635610663914,2.331345358164981
384,384,1536,-0.0018060579895973206,16.438297271728516,1.9410736560821533,0.0011134929955005646,0.0,0.0001,20,20,17,19,20,18,14,0,0,0,0,0,0.15625,1,0.03,0.01340213106709598,1.7154727765882853
512,512,2048,-0.0038220584392547607,37.5594596862793,1.9300618171691895,0.0019982997328042984,0.03515625,0.0001,28,14,10,16,29,19,12,0,0,0,0,0,0.2265625,1,0.03,0.011083755791105432,1.4187207412614953
640,640,2560,-0.012938462197780609,20.484905242919922,1.9164791107177734,0.0018720217049121857,0.0,0.0001,14,15,22,16,22,20,19,0,0,0,0,0,0.171875,1,0.03,0.00912890196968874,1.1684994521201588
768,768,3072,-0.012727104127407074,21.66735076904297,1.9140325784683228,0.0011964477598667145,0.03515625,0.0001,13,12,31,15,19,25,13,0,0,0,0,0,0.2421875,1,0.03,0.008128238527206122,1.0404145314823836
896,896,3584,-0.0034663304686546326,51.557044982910156,1.9050103425979614,0.0018150247633457184,0.0,0.0001,14,14,20,23,25,23,9,0,0,0,0,0,0.1953125,1,0.03,0.0170447200007402,2.1817241600947455
1024,1024,4096,-0.006215721368789673,21.714616775512695,1.8805001974105835,0.00227365642786026,0.04296875,0.0001,27,10,29,11,17,24,10,0,0,0,0,0,0.2265625,1,0.03,0.015618085353253264,1.9991149252164178
1152,1152,4608,-0.005761386826634407,34.41924285888672,1.8500077724456787,0.002407435327768326,0.078125,0.0001,7,12,32,22,28,20,7,0,0,0,0,0,0.25,1,0.03,0.004939575183470879,0.6322656234842725
1280,1280,5120,0.0006177723407745361,17.628198623657227,1.8245054483413696,0.001343635842204094,0.0,0.0001,10,5,27,17,38,21,10,0,0,0,0,0,0.296875,1,0.03,0.011408740532260708,1.4603187881293707
1408,1408,5632,-0.002267003059387207,17.112201690673828,1.7784614562988281,0.0025987979024648666,0.03515625,0.0001,11,13,20,23,32,22,7,0,0,0,0,0,0.25,1,0.03,0.01889615473055528,2.418707805511076
1536,1536,6144,-0.006754666566848755,14.514532089233398,1.7386467456817627,0.007804270833730698,0.2421875,0.0001,10,10,27,32,29,13,7,0,0,0,0,0,0.25,1,0.03,0.01536201838780471,1.966338353639003
1664,1664,6656,0.02385852485895157,5.3116044998168945,1.7016255855560303,0.010057351551949978,0.234375,0.0001,8,3,29,12,52,17,7,0,0,0,0,0,0.40625,1,0.03,0.020967722575733205,2.6838684896938503
1792,1792,7168,0.00574275478720665,18.361774444580078,1.6350117921829224,0.007717113010585308,0.2265625,0.0001,7,4,43,22,27,23,2,0,0,0,0,0,0.3359375,1,0.03,0.018306997797935765,2.343295718135778
1920,1920,7680,0.006081350147724152,11.120022773742676,1.5977299213409424,0.003442373126745224,0.09375,0.0001,2,6,32,25,29,30,4,0,0,0,0,0,0.25,1,0.03,0.015070998737428454,1.929087838390842
2048,2048,8192,0.0018297135829925537,30.49148941040039,1.61069655418396,0.002148624509572983,0.04296875,0.0001,5,7,47,12,23,28,6,0,0,0,0,0,0.3671875,1,0.03,0.018952648435515584,2.425938999745995
2176,2176,8704,-0.003707488998770714,15.659775733947754,1.6353821754455566,0.0010132025927305222,0.00390625,0.0001,1,9,42,19,22,30,5,0,0,0,0,0,0.328125,1,0.03,0.014008939598852521,1.7931442686531227
2304,2304,9216,0.006220623850822449,12.74302864074707,1.639915108680725,0.004316349513828754,0.109375,0.0001,5,2,45,25,24,21,6,0,0,0,0,0,0.3515625,1,0.03,0.0147926446393285,1.893458513834048
2432,2432,9728,0.002222951501607895,7.295289039611816,1.6387417316436768,0.0010980144143104553,0.0,0.0001,2,4,54,28,22,12,6,0,0,0,0,0,0.421875,1,0.03,0.01729197558506712,2.2133728748885915
2560,2560,10240,-0.0029376018792390823,70.61270904541016,1.6357760429382324,0.0008948082104325294,0.0,0.0001,3,0,44,28,23,23,7,0,0,0,0,0,0.34375,1,0.03,0.004633943228100179,0.5931447331968229
2688,2688,10752,-0.012757435441017151,8.471673965454102,1.6344038248062134,0.0007761940360069275,0.0,0.0001,1,5,48,23,17,24,10,0,0,0,0,0,0.375,1,0.03,0.01363387990022602,1.7451366272289306
2816,2816,11264,0.004848286509513855,7.11683464050293,1.6166399717330933,0.00279411394149065,0.015625,0.0001,2,2,44,40,12,15,13,0,0,0,0,0,0.34375,1,0.03,0.02035468941767249,2.6054002454620786
2944,2944,11776,-0.0011161863803863525,4.056583881378174,1.6073850393295288,0.003994838334619999,0.07421875,0.0001,2,2,35,42,22,16,9,0,0,0,0,0,0.328125,1,0.03,0.014630647054900692,1.8727228230272885
3072,3072,12288,-0.002252727746963501,46.572776794433594,1.6306843757629395,0.003060879185795784,0.0546875,0.0001,2,3,37,40,16,19,11,0,0,0,0,0,0.3125,1,0.03,0.008787095054231031,1.124748166941572
3200,3200,12800,0.007220908999443054,21.89746856689453,1.6770117282867432,0.004286409355700016,0.09375,0.0001,3,2,33,38,19,21,12,0,0,0,0,0,0.296875,1,0.03,0.009719226057768537,1.2440609353943728
3328,3328,13312,0.009708896279335022,28.054710388183594,1.643730640411377,0.005799188278615475,0.16015625,0.0001,3,3,41,34,19,21,7,0,0,0,0,0,0.3203125,1,0.03,0.013200352674402893,1.6896451423235703
3456,3456,13824,0.006938323378562927,13.815202713012695,1.6022228002548218,0.0029891487210989,0.08203125,0.0001,4,3,39,28,25,25,4,0,0,0,0,0,0.3046875,1,0.03,0.014788491046829222,1.8929268539941404
3584,3584,14336,-0.005494698882102966,11.299535751342773,1.5778778791427612,0.0017961012199521065,0.00390625,0.0001,1,6,41,31,29,15,5,0,0,0,0,0,0.3203125,1,0.03,0.016212058661267292,2.0751435086422134
3712,3712,14848,-0.019208848476409912,19.055500030517578,1.5611131191253662,0.0026380857452750206,0.0,0.0001,1,6,44,43,19,14,1,0,0,0,0,0,0.34375,1,0.03,0.017673187908485488,2.2621680522861425
3840,3840,15360,0.007304411381483078,1.2694391012191772,1.495356798171997,0.005271620117127895,0.0625,0.0001,0,5,34,45,24,9,11,0,0,0,0,0,0.3515625,1,0.03,0.01931078194775182,2.471780089312233
3968,3968,15872,0.011738598346710205,13.8408203125,1.3971545696258545,0.013865070417523384,0.37109375,0.0001,1,5,30,44,37,9,2,0,0,0,0,0,0.34375,1,0.03,0.018744418342521385,2.3992855478427373
4096,4096,16384,0.01846821792423725,51.62782287597656,1.3740026950836182,0.002300533466041088,0.05078125,0.0001,0,1,22,52,38,12,3,0,0,0,0,0,0.40625,1,0.03,0.0022145798350265977,0.2834662188834045
