global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.006565675139427185,72.13597106933594,1.9457457065582275,0.00017547328025102615,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.9748500124551356,124.78080159425735
256,256,1024,-0.0036799684166908264,22.400753021240234,1.9447381496429443,0.00034821033477783203,0.0,0.0001,18,19,14,22,12,21,22,0,0,0,0,0,0.171875,1,0.03,0.01608016890622821,2.058261619997211
384,384,1536,-0.011576101183891296,60.233612060546875,1.9407068490982056,0.0011705206707119942,0.0,0.0001,20,18,18,18,20,19,15,0,0,0,0,0,0.15625,1,0.03,0.023069606014360033,2.9529095698380843
512,512,2048,0.006009787321090698,11.215880393981934,1.9320573806762695,0.0012332964688539505,0.04296875,0.0001,26,17,9,16,29,15,16,0,0,0,0,0,0.2265625,1,0.03,0.015917621849439456,2.0374555967282504
640,640,2560,-0.0009615719318389893,40.733787536621094,1.9304676055908203,0.0005035251379013062,0.0,0.0001,21,18,17,11,20,23,18,0,0,0,0,0,0.1796875,1,0.03,0.02091180695742878,2.676711290550884
768,768,3072,-0.0074896737933158875,31.894683837890625,1.9246184825897217,0.001005236990749836,0.0,0.0001,15,14,27,16,17,26,13,0,0,0,0,0,0.2109375,1,0.03,0.011792666195105994,1.5094612729735672
896,896,3584,-0.01551656424999237,9.918350219726562,1.9116426706314087,0.002490122802555561,0.03125,0.0001,13,17,18,19,20,24,17,0,0,0,0,0,0.1875,1,0.03,0.013875580149488087,1.7760742591344751
1024,1024,4096,0.009986691176891327,29.317461013793945,1.8764547109603882,0.003309367224574089,0.08203125,0.0001,26,15,24,7,17,31,8,0,0,0,0,0,0.2421875,1,0.03,0.012829530727458405,1.6421799331146758
1152,1152,4608,-0.0002704039216041565,5.31151008605957,1.840169906616211,0.005330866202712059,0.16015625,0.0001,24,14,11,10,19,33,17,0,0,0,0,0,0.2578125,1,0.03,0.019009202638699207,2.4331779377534986
1280,1280,5120,0.016788005828857422,7.445040225982666,1.8036861419677734,0.008143809624016285,0.3203125,0.0001,28,15,19,10,21,25,10,0,0,0,0,0,0.21875,1,0.03,0.01805555496684974,2.311111035756767
1408,1408,5632,0.015236746519804,13.797612190246582,1.831153392791748,0.007138627581298351,0.203125,0.0001,19,23,14,9,24,31,8,0,0,0,0,0,0.2421875,1,0.03,0.01987785782989704,2.544365802226821
1536,1536,6144,-0.00010202080011367798,89.82262420654297,1.8558648824691772,0.004913147538900375,0.1484375,0.0001,17,11,16,16,27,30,11,0,0,0,0,0,0.234375,1,0.03,0.007311570305319037,0.9358809990808368
1664,1664,6656,0.017361488193273544,3.0383100509643555,1.8618671894073486,0.0035861534997820854,0.15625,0.0001,16,21,17,15,23,29,7,0,0,0,0,0,0.2265625,1,0.03,0.017975798284169286,2.3009021803736687
1792,1792,7168,0.00196988508105278,38.20185852050781,1.8514341115951538,0.000742386095225811,0.0,0.0001,24,21,10,22,26,20,5,0,0,0,0,0,0.203125,1,0.03,0.012303326206847487,1.5748257544764783
1920,1920,7680,-0.0035882368683815002,2.8228981494903564,1.8406286239624023,0.0011518560349941254,0.0,0.0001,15,20,16,9,30,33,5,0,0,0,0,0,0.2578125,1,0.03,0.01407792517056805,1.8019744218327105
