global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
197,197,788,0,197,788,569.0,0.0,569.0,665,665,437.6345177664975,14,0,1000000,3000,4
332,332,1328,1,135,540,586.0,0.0,586.0,670,670,317.6740740740741,14,0,1000000,3000,4
482,482,1928,2,150,600,638.0,0.0,638.0,722,723,459.52666666666664,15,0,1000000,3000,4
742,742,2968,3,260,1040,791.0,0.0,791.0,898,898,539.1038461538461,18,0,1000000,3000,4
2574,2574,10296,4,1832,7328,714.0,0.0,714.0,1137,1137,825.8231441048035,23,0,1000000,3000,4
2606,2606,10424,5,32,128,244.0,0.0,244.0,306,306,161.0625,7,0,1000000,3000,4
2645,2645,10580,6,39,156,238.0,0.0,238.0,303,303,153.89743589743588,7,0,1000000,3000,4
2706,2706,10824,7,61,244,199.0,0.0,199.0,268,268,159.4262295081967,6,0,1000000,3000,4
2864,2864,11456,8,158,632,795.0,0.0,795.0,883,883,495.8481012658228,18,0,1000000,3000,4
3241,3241,12964,9,377,1508,671.0,0.0,671.0,803,803,593.761273209549,17,0,1000000,3000,4
3675,3675,14700,10,434,1736,1009.0,0.0,1009.0,1153,1153,730.241935483871,24,0,1000000,3000,4
4291,4291,17164,11,616,2464,1753.0,0.0,1753.0,1933,1933,889.6623376623377,39,0,1000000,3000,4
4668,4668,18672,12,377,1508,675.0,0.0,675.0,807,807,626.2519893899204,17,0,1000000,3000,4
5021,5021,20084,13,353,1412,1298.0,0.0,1298.0,1426,1426,727.371104815864,29,0,1000000,3000,4
5080,5080,20320,14,59,236,228.0,0.0,228.0,295,295,129.52542372881356,6,0,1000000,3000,4
5120,5120,20480,15,40,160,247.0,0.0,247.0,312,312,135.625,7,0,1000000,3000,4
5485,5485,21940,16,365,1460,1003.0,0.0,1003.0,1132,1132,726.4602739726027,23,0,1000000,3000,4
5518,5518,22072,17,33,132,251.0,0.0,251.0,314,314,145.87878787878788,7,0,1000000,3000,4
5916,5916,23664,18,398,1592,1273.0,0.0,1273.0,1409,1409,753.2738693467337,29,0,1000000,3000,4
6072,6072,24288,19,156,624,812.0,0.0,812.0,898,898,532.6346153846154,18,0,1000000,3000,4
6222,6222,24888,20,150,600,638.0,0.0,638.0,722,723,503.75333333333333,15,0,1000000,3000,4
6259,6259,25036,21,37,148,239.0,0.0,239.0,303,303,154.27027027027026,7,0,1000000,3000,4
6363,6363,25452,22,104,416,615.0,0.0,615.0,692,692,326.97115384615387,14,0,1000000,3000,4
6530,6530,26120,23,167,668,1319.0,0.0,1319.0,1409,1409,716.4730538922156,29,0,1000000,3000,4
6765,6765,27060,24,235,940,1306.0,0.0,1306.0,1409,1409,657.2936170212766,29,0,1000000,3000,4
6802,6802,27208,25,37,148,241.0,0.0,241.0,305,305,153.1081081081081,7,0,1000000,3000,4
6842,6842,27368,26,40,160,232.0,0.0,232.0,298,298,158.425,6,0,1000000,3000,4
6878,6878,27512,27,36,144,238.0,0.0,238.0,302,302,153.0,7,0,1000000,3000,4
7077,7077,28308,28,199,796,1032.0,0.0,1032.0,1127,1127,575.3517587939698,23,0,1000000,3000,4
7162,7162,28648,29,85,340,634.0,0.0,634.0,709,709,359.7176470588235,15,0,1000000,3000,4
7198,7198,28792,30,36,144,238.0,0.0,238.0,301,301,164.02777777777777,7,0,1000000,3000,4
7417,7417,29668,31,219,876,1027.0,0.0,1027.0,1125,1125,626.2009132420092,23,0,1000000,3000,4
7661,7661,30644,32,244,976,1021.0,0.0,1021.0,1124,1124,595.6844262295082,23,0,1000000,3000,4
7742,7742,30968,33,81,324,630.0,0.0,630.0,704,704,362.7283950617284,15,0,1000000,3000,4
7778,7778,31112,34,36,144,234.0,0.0,234.0,299,299,155.19444444444446,6,0,1000000,3000,4
7938,7938,31752,35,160,640,1051.0,0.0,1051.0,1138,1138,567.85,23,0,1000000,3000,4
8044,8044,32176,36,106,424,604.0,0.0,604.0,681,681,395.10377358490564,14,0,1000000,3000,4
8075,8075,32300,37,31,124,248.0,0.0,248.0,312,312,154.0,7,0,1000000,3000,4
8114,8114,32456,38,39,156,235.0,0.0,235.0,299,299,158.66666666666666,6,0,1000000,3000,4
8196,8196,32784,39,82,328,634.0,0.0,634.0,706,706,375.1707317073171,15,0,1000000,3000,4
8387,8387,33548,40,191,764,1044.0,0.0,1044.0,1139,1139,660.5183246073299,23,0,1000000,3000,4
8458,8458,33832,41,71,284,604.0,0.0,604.0,676,676,303.90140845070425,14,0,1000000,3000,4
8494,8494,33976,42,36,144,244.0,0.0,244.0,309,309,146.72222222222223,7,0,1000000,3000,4
8601,8601,34404,43,107,428,618.0,0.0,618.0,697,697,376.803738317757,14,0,1000000,3000,4
8819,8819,35276,44,218,872,730.0,0.0,730.0,829,829,501.94954128440367,17,0,1000000,3000,4
9065,9065,36260,45,246,984,1565.0,0.0,1565.0,1672,1672,813.1178861788618,34,0,1000000,3000,4
9314,9314,37256,46,249,996,1564.0,0.0,1564.0,1671,1671,739.6465863453815,34,0,1000000,3000,4
9551,9551,38204,47,237,948,1318.0,0.0,1318.0,1423,1423,742.831223628692,29,0,1000000,3000,4
9582,9582,38328,48,31,124,248.0,0.0,248.0,311,311,153.90322580645162,7,0,1000000,3000,4
9615,9615,38460,49,33,132,239.0,0.0,239.0,303,303,160.3939393939394,7,0,1000000,3000,4
9645,9645,38580,50,30,120,244.0,0.0,244.0,308,308,153.36666666666667,7,0,1000000,3000,4
9675,9675,38700,51,30,120,252.0,0.0,252.0,315,315,158.0,7,0,1000000,3000,4
9715,9715,38860,52,40,160,239.0,0.0,239.0,303,303,155.3,7,0,1000000,3000,4
9889,9889,39556,53,174,696,1327.0,0.0,1327.0,1417,1417,652.8908045977012,29,0,1000000,3000,4
9926,9926,39704,54,37,148,243.0,0.0,243.0,307,307,156.05405405405406,7,0,1000000,3000,4
9964,9964,39856,55,38,152,230.0,0.0,230.0,294,294,170.52631578947367,6,0,1000000,3000,4
10151,10151,40604,56,187,748,1328.0,0.0,1328.0,1423,1423,729.8502673796792,29,0,1000000,3000,4
10329,10329,41316,57,178,712,1037.0,0.0,1037.0,1128,1128,697.1067415730337,23,0,1000000,3000,4
10413,10413,41652,58,84,336,614.0,0.0,614.0,688,688,334.1666666666667,14,0,1000000,3000,4
10552,10552,42208,59,139,556,640.0,0.0,640.0,722,722,528.1798561151079,15,0,1000000,3000,4
10679,10679,42716,60,127,508,617.0,0.0,617.0,700,700,375.40157480314963,15,0,1000000,3000,4
10745,10745,42980,61,66,264,612.0,0.0,612.0,683,683,326.6666666666667,14,0,1000000,3000,4
10881,10881,43524,62,136,544,762.0,0.0,762.0,846,846,511.05882352941177,17,0,1000000,3000,4
10918,10918,43672,63,37,148,245.0,0.0,245.0,309,309,153.02702702702703,7,0,1000000,3000,4
11103,11103,44412,64,185,740,1324.0,0.0,1324.0,1416,1416,716.6,29,0,1000000,3000,4
11284,11284,45136,65,181,724,1044.0,0.0,1044.0,1137,1137,681.4419889502763,23,0,1000000,3000,4
11390,11390,45560,66,106,424,614.0,0.0,614.0,693,693,379.4622641509434,14,0,1000000,3000,4
11479,11479,45916,67,89,356,636.0,0.0,636.0,710,710,378.9550561797753,15,0,1000000,3000,4
11656,11656,46624,68,177,708,1132.0,0.0,1132.0,1223,1223,657.6214689265537,25,0,1000000,3000,4
11824,11824,47296,69,168,672,1343.0,0.0,1343.0,1434,1434,699.3452380952381,29,0,1000000,3000,4
11964,11964,47856,70,140,560,640.0,0.0,640.0,722,722,510.0,15,0,1000000,3000,4
12133,12133,48532,71,169,676,1324.0,0.0,1324.0,1413,1413,725.4970414201183,29,0,1000000,3000,4
12167,12167,48668,72,34,136,248.0,0.0,248.0,310,310,155.6764705882353,7,0,1000000,3000,4
12279,12279,49116,73,112,448,611.0,0.0,611.0,691,691,391.16964285714283,14,0,1000000,3000,4
12315,12315,49260,74,36,144,243.0,0.0,243.0,308,308,154.27777777777777,7,0,1000000,3000,4
12384,12384,49536,75,69,276,604.0,0.0,604.0,675,675,321.4927536231884,14,0,1000000,3000,4
12416,12416,49664,76,32,128,244.0,0.0,244.0,307,307,155.96875,7,0,1000000,3000,4
12773,12773,51092,77,357,1428,2342.0,0.0,2342.0,2469,2469,1457.686274509804,50,0,1000000,3000,4
12806,12806,51224,78,33,132,247.0,0.0,247.0,309,309,157.42424242424244,7,0,1000000,3000,4
12839,12839,51356,79,33,132,252.0,0.0,252.0,316,316,151.84848484848484,7,0,1000000,3000,4
12874,12874,51496,80,35,140,236.0,0.0,236.0,300,300,165.9142857142857,7,0,1000000,3000,4
12999,12999,51996,81,125,500,1055.0,0.0,1055.0,1136,1136,573.208,23,0,1000000,3000,4
13133,13133,52532,82,134,536,756.0,0.0,756.0,840,840,526.9402985074627,17,0,1000000,3000,4
13207,13207,52828,83,74,296,635.0,0.0,635.0,707,707,376.77027027027026,15,0,1000000,3000,4
13289,13289,53156,84,82,328,617.0,0.0,617.0,691,691,412.7926829268293,14,0,1000000,3000,4
13320,13320,53280,85,31,124,244.0,0.0,244.0,308,308,155.09677419354838,7,0,1000000,3000,4
13355,13355,53420,86,35,140,235.0,0.0,235.0,299,299,165.8,6,0,1000000,3000,4
13451,13451,53804,87,96,384,609.0,0.0,609.0,685,685,383.3020833333333,14,0,1000000,3000,4
13599,13599,54396,88,148,592,1335.0,0.0,1335.0,1422,1422,698.5472972972973,29,0,1000000,3000,4
13790,13790,55160,89,191,764,1341.0,0.0,1341.0,1437,1437,769.109947643979,29,0,1000000,3000,4
13820,13820,55280,90,30,120,248.0,0.0,248.0,312,312,152.23333333333332,7,0,1000000,3000,4
14151,14151,56604,91,331,1324,1823.0,0.0,1823.0,1946,1946,935.4018126888218,39,0,1000000,3000,4
14715,14715,58860,92,564,2256,1851.0,0.0,1851.0,2021,2021,843.645390070922,41,0,1000000,3000,4
14748,14748,58992,93,33,132,249.0,0.0,249.0,313,313,144.57575757575756,7,0,1000000,3000,4
14825,14825,59300,94,77,308,609.0,0.0,609.0,681,681,330.27272727272725,14,0,1000000,3000,4
14866,14866,59464,95,41,164,233.0,0.0,233.0,298,298,158.90243902439025,6,0,1000000,3000,4
15016,15016,60064,96,150,600,813.0,0.0,813.0,898,898,580.8133333333334,18,0,1000000,3000,4
15103,15103,60412,97,87,348,650.0,0.0,650.0,722,722,401.2758620689655,15,0,1000000,3000,4
15134,15134,60536,98,31,124,246.0,0.0,246.0,309,309,155.74193548387098,7,0,1000000,3000,4
15488,15488,61952,99,354,1416,1290.0,0.0,1290.0,1416,1416,761.2259887005649,29,0,1000000,3000,4
15803,15803,63212,100,315,1260,1007.0,0.0,1007.0,1126,1126,749.6603174603175,23,0,1000000,3000,4
16136,16136,64544,101,333,1332,1005.0,0.0,1005.0,1126,1126,662.033033033033,23,0,1000000,3000,4
16226,16226,64904,102,90,360,616.0,0.0,616.0,690,690,389.1777777777778,14,0,1000000,3000,4
16258,16258,65032,103,32,128,249.0,0.0,249.0,313,313,156.9375,7,0,1000000,3000,4
16447,16447,65788,104,189,756,730.0,0.0,730.0,825,825,530.3333333333334,17,0,1000000,3000,4
16556,16556,66224,105,109,436,598.0,0.0,598.0,676,676,383.6330275229358,14,0,1000000,3000,4
16655,16655,66620,106,99,396,603.0,0.0,603.0,679,679,406.09090909090907,14,0,1000000,3000,4
16792,16792,67168,107,137,548,640.0,0.0,640.0,722,723,511.37226277372264,15,0,1000000,3000,4
17015,17015,68060,108,223,892,1052.0,0.0,1052.0,1154,1154,691.5291479820628,24,0,1000000,3000,4
17054,17054,68216,109,39,156,236.0,0.0,236.0,300,300,154.6153846153846,7,0,1000000,3000,4
17140,17140,68560,110,86,344,628.0,0.0,628.0,702,702,397.4186046511628,15,0,1000000,3000,4
17284,17284,69136,111,144,576,639.0,0.0,639.0,722,723,504.4375,15,0,1000000,3000,4
17320,17320,69280,112,36,144,235.0,0.0,235.0,298,298,164.55555555555554,6,0,1000000,3000,4
17488,17488,69952,113,168,672,1038.0,0.0,1038.0,1127,1127,598.9880952380952,23,0,1000000,3000,4
17524,17524,70096,114,36,144,243.0,0.0,243.0,307,307,150.30555555555554,7,0,1000000,3000,4
17926,17926,71704,115,402,1608,1297.0,0.0,1297.0,1435,1435,752.2089552238806,29,0,1000000,3000,4
18006,18006,72024,116,80,320,611.0,0.0,611.0,683,683,338.3,14,0,1000000,3000,4
18156,18156,72624,117,150,600,638.0,0.0,638.0,722,722,476.44666666666666,15,0,1000000,3000,4
18191,18191,72764,118,35,140,236.0,0.0,236.0,299,299,170.05714285714285,6,0,1000000,3000,4
18283,18283,73132,119,92,368,598.0,0.0,598.0,672,672,315.75,14,0,1000000,3000,4
18572,18572,74288,120,289,1156,1023.0,0.0,1023.0,1137,1137,666.1764705882352,23,0,1000000,3000,4
18656,18656,74624,121,84,336,633.0,0.0,633.0,706,706,374.0357142857143,15,0,1000000,3000,4
18940,18940,75760,122,284,1136,1913.0,0.0,1913.0,2026,2026,908.9788732394367,41,0,1000000,3000,4
18977,18977,75908,123,37,148,231.0,0.0,231.0,295,295,164.21621621621622,6,0,1000000,3000,4
19010,19010,76040,124,33,132,249.0,0.0,249.0,313,313,151.24242424242425,7,0,1000000,3000,4
19197,19197,76788,125,187,748,1044.0,0.0,1044.0,1138,1138,599.2352941176471,23,0,1000000,3000,4
19451,19451,77804,126,254,1016,1325.0,0.0,1325.0,1433,1433,733.6732283464567,29,0,1000000,3000,4
