global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.006804563105106354,60.22893524169922,1.9457406997680664,0.0001796092838048935,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.001842978653186833,0.23590126760791463
256,256,1024,-0.003574579954147339,22.45589828491211,1.9446067810058594,0.0003874935209751129,0.0,0.0001,18,19,14,22,12,21,22,0,0,0,0,0,0.171875,1,0.03,1.9718169656725466e-05,0.0025239257160608597
384,384,1536,-0.011391852051019669,60.45356750488281,1.940136194229126,0.001244942657649517,0.0,0.0001,20,18,18,18,20,19,15,0,0,0,0,0,0.15625,1,0.03,4.232062735860364e-05,0.005417040301901266
512,512,2048,-0.00023025646805763245,14.923032760620117,1.9248061180114746,0.0031608818098902702,0.06640625,0.0001,26,17,9,16,28,16,16,0,0,0,0,0,0.21875,1,0.03,1.2262481890106675e-05,0.0015695976819336543
640,640,2560,0.004837114363908768,6.030755996704102,1.8935699462890625,0.004007271490991116,0.078125,0.0001,18,18,18,12,17,26,19,0,0,0,0,0,0.203125,1,0.03,1.0869814819625123e-05,0.0013913362969120158
768,768,3072,0.010258063673973083,12.470827102661133,1.8595178127288818,0.002790934406220913,0.1015625,0.0001,12,12,28,20,11,33,12,0,0,0,0,0,0.2578125,1,0.03,6.230309924889002e-06,0.0007974796703857923
896,896,3584,-0.008435938507318497,20.64704704284668,1.8478363752365112,0.002450629137456417,0.04296875,0.0001,6,14,18,30,17,31,12,0,0,0,0,0,0.2421875,1,0.03,7.079816301908126e-06,0.0009062164866442401
1024,1024,4096,0.0010344460606575012,18.719425201416016,1.8525125980377197,0.0009314557537436485,0.0,0.0001,14,12,24,21,16,31,10,0,0,0,0,0,0.2421875,1,0.03,2.487323104705119e-07,3.1837735740225526e-05
1152,1152,4608,0.011034294962882996,8.856077194213867,1.8734791278839111,0.0011531496420502663,0.0,0.0001,11,7,15,31,18,26,20,0,0,0,0,0,0.2421875,1,0.03,6.540796297204582e-08,8.372219260421865e-06
1280,1280,5120,0.004654567688703537,4.158618927001953,1.8930943012237549,0.0009752465412020683,0.0,0.0001,16,9,22,28,24,17,12,0,0,0,0,0,0.21875,1,0.03,7.644764227991013e-08,9.785298211828497e-06
1408,1408,5632,-0.002867136150598526,9.303468704223633,1.905886173248291,0.0009241187945008278,0.0,0.0001,16,21,14,22,23,20,12,0,0,0,0,0,0.1796875,1,0.03,1.8711562061140934e-06,0.00023950799438260395
1536,1536,6144,0.0027275756001472473,3.319911479949951,1.9133429527282715,0.0004092790186405182,0.0,0.0001,10,9,16,33,15,21,24,0,0,0,0,0,0.2578125,1,0.03,5.950168926148469e-09,7.61621622547004e-07
1664,1664,6656,0.004994481801986694,4.364934921264648,1.9251878261566162,0.0007903249934315681,0.0,0.0001,16,18,20,18,14,23,19,0,0,0,0,0,0.1796875,1,0.03,2.378385181509013e-09,3.0443330323315365e-07
1792,1792,7168,-0.0006243772804737091,2.921055316925049,1.9345107078552246,0.000980888493359089,0.0,0.0001,20,13,14,32,21,19,9,0,0,0,0,0,0.25,1,0.03,2.2914452930608564e-09,2.933049975117896e-07
1920,1920,7680,0.0015639793127775192,2.020325183868408,1.9410526752471924,0.0007634870707988739,0.0,0.0001,10,17,15,23,19,25,19,0,0,0,0,0,0.1953125,1,0.03,2.714161666684395e-09,3.4741269333560254e-07
2048,2048,8192,0.0006919391453266144,4.332458972930908,1.9445215463638306,0.0006283782422542572,0.0,0.0001,23,21,15,23,15,16,15,0,0,0,0,0,0.1796875,1,0.03,2.678418303337163e-09,3.4283754282715684e-07
2176,2176,8704,0.003887265920639038,3.2503697872161865,1.945702075958252,0.00026670563966035843,0.0,0.0001,15,14,21,17,19,24,18,0,0,0,0,0,0.1875,1,0.03,2.0632766299525165e-09,2.640994086339221e-07
2304,2304,9216,-0.0002497676759958267,3.378495216369629,1.9458627700805664,2.2077001631259918e-05,0.0,0.0001,24,16,24,16,14,18,16,0,0,0,0,0,0.1875,1,0.03,2.292796918903356e-09,2.9347800561962956e-07
