global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.006805106997489929,60.22152328491211,1.9457406997680664,0.0001796148717403412,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.0004285948452888988,0.054860140196979046
256,256,1024,-0.003572918474674225,22.45572280883789,1.9446067810058594,0.0003875233232975006,0.0,0.0001,18,19,14,22,12,21,22,0,0,0,0,0,0.171875,1,0.03,0.00023098151120848343,0.02956563343468588
384,384,1536,-0.011392582207918167,60.45024871826172,1.940136432647705,0.0012448802590370178,0.0,0.0001,20,18,18,18,20,19,15,0,0,0,0,0,0.15625,1,0.03,0.00017982376095915242,0.02301744140277151
512,512,2048,-0.00023073330521583557,14.92298698425293,1.9248058795928955,0.0031609712168574333,0.06640625,0.0001,26,17,9,16,28,16,16,0,0,0,0,0,0.21875,1,0.03,0.00016294484908030427,0.020856940682278946
640,640,2560,0.004843901842832565,6.029654502868652,1.893561601638794,0.004009363241493702,0.078125,0.0001,18,18,18,12,17,26,19,0,0,0,0,0,0.203125,1,0.03,0.00015612250990670873,0.019983681268058717
768,768,3072,0.010270923376083374,12.465628623962402,1.859532117843628,0.002789672464132309,0.1015625,0.0001,12,12,28,20,11,33,12,0,0,0,0,0,0.2578125,1,0.03,0.00012774328689602044,0.016351140722690616
896,896,3584,-0.008440244942903519,20.652996063232422,1.8478317260742188,0.0024518482387065887,0.04296875,0.0001,6,14,18,30,17,31,12,0,0,0,0,0,0.2421875,1,0.03,0.00011232849442421866,0.014378047286299989
1024,1024,4096,0.0010485351085662842,18.72832489013672,1.8525123596191406,0.0009322240948677063,0.0,0.0001,14,12,24,21,16,31,10,0,0,0,0,0,0.2421875,1,0.03,0.00010060639351650025,0.012877618370112032
1152,1152,4608,0.011052072048187256,8.861616134643555,1.873481273651123,0.0011551370844244957,0.0,0.0001,11,7,15,31,18,26,20,0,0,0,0,0,0.2421875,1,0.03,9.090698489444549e-05,0.011636094066489022
1280,1280,5120,0.004655513912439346,4.1778764724731445,1.8930652141571045,0.0009726369753479958,0.0,0.0001,16,9,22,28,24,17,12,0,0,0,0,0,0.21875,1,0.03,7.595522481551598e-05,0.009722268776386045
1408,1408,5632,-0.0028672441840171814,9.293018341064453,1.9058442115783691,0.0009237499907612801,0.0,0.0001,16,21,14,22,23,20,12,0,0,0,0,0,0.1796875,1,0.03,7.328303706799488e-05,0.009380228744703345
1536,1536,6144,0.0027711503207683563,3.3276638984680176,1.913306713104248,0.0004078485071659088,0.0,0.0001,10,9,16,33,15,21,24,0,0,0,0,0,0.2578125,1,0.03,6.468183750030221e-05,0.008279275200038683
1664,1664,6656,0.004949785768985748,4.404974460601807,1.9250932931900024,0.0007796278223395348,0.0,0.0001,16,18,20,18,14,23,19,0,0,0,0,0,0.1796875,1,0.03,5.853009525935704e-05,0.007491852193197701
1792,1792,7168,-0.0006309933960437775,2.9815821647644043,1.9343277215957642,0.0009532738476991653,0.0,0.0001,20,13,14,32,21,19,9,0,0,0,0,0,0.25,1,0.03,5.7980553265224444e-05,0.007421510817948729
1920,1920,7680,0.0015148073434829712,2.08536958694458,1.940820574760437,0.0007263980805873871,0.0,0.0001,10,17,15,23,19,25,19,0,0,0,0,0,0.1953125,1,0.03,5.812783925307485e-05,0.007440363424393581
2048,2048,8192,0.0006425157189369202,4.42147159576416,1.9443309307098389,0.0005977964028716087,0.0,0.0001,23,21,15,23,15,16,15,0,0,0,0,0,0.1796875,1,0.03,5.759569862107128e-05,0.007372249423497124
2176,2176,8704,0.003994762897491455,3.2793917655944824,1.9456329345703125,0.0002792747691273689,0.0,0.0001,15,14,21,17,19,24,18,0,0,0,0,0,0.1875,1,0.03,5.695856532383914e-05,0.00729069636145141
2304,2304,9216,-1.4979392290115356e-05,3.3914031982421875,1.9458587169647217,3.364682197570801e-05,0.0,0.0001,24,16,24,16,14,18,16,0,0,0,0,0,0.1875,1,0.03,5.652061443583989e-05,0.007234638647787506
2432,2432,9728,-0.0007862560451030731,4.183835983276367,1.9458048343658447,1.634657382965088e-05,0.0,0.0001,8,27,25,22,20,14,12,0,0,0,0,0,0.2109375,1,0.03,5.619529514433452e-05,0.007192997778474819
2560,2560,10240,0.0005269050598144531,11.333964347839355,1.9455645084381104,3.0166469514369965e-05,0.0,0.0001,20,17,16,10,21,22,22,0,0,0,0,0,0.171875,1,0.03,5.74486921038897e-05,0.007353432589297881
2688,2688,10752,-0.0007706023752689362,85.46159362792969,1.945510745048523,4.97233122587204e-06,0.0,0.0001,18,20,17,17,21,17,18,0,0,0,0,0,0.1640625,1,0.03,5.989843560882946e-05,0.007666999757930171
2816,2816,11264,-0.0001622624695301056,67.89073181152344,1.9456008672714233,1.103617250919342e-05,0.0,0.0001,13,21,22,23,14,13,22,0,0,0,0,0,0.1796875,1,0.03,5.9507325147478696e-05,0.007616937618877273
2944,2944,11776,-0.0018453244119882584,83.04818725585938,1.945705771446228,1.8489547073841095e-05,0.0,0.0001,17,14,19,12,24,23,19,0,0,0,0,0,0.1875,1,0.03,5.927749120360204e-05,0.007587518874061061
3072,3072,12288,-0.001971054822206497,29.1365966796875,1.9456404447555542,6.007775664329529e-05,0.0,0.0001,17,16,27,23,18,16,11,0,0,0,0,0,0.2109375,1,0.03,6.056557356259873e-05,0.007752393416012637
3200,3200,12800,-0.002147931605577469,6.921402454376221,1.9452224969863892,8.601974695920944e-05,0.0,0.0001,15,18,14,23,19,24,15,0,0,0,0,0,0.1875,1,0.03,5.599314602022787e-05,0.007167122690589167
3328,3328,13312,-0.000695670023560524,48.698570251464844,1.9445916414260864,7.358938455581665e-05,0.0,0.0001,17,22,18,18,17,20,16,0,0,0,0,0,0.171875,1,0.03,5.813472034787992e-05,0.00744124420452863
3456,3456,13824,-0.0028543397784233093,27.11964225769043,1.9428913593292236,0.0002651382237672806,0.0,0.0001,16,16,18,24,19,21,14,0,0,0,0,0,0.1875,1,0.03,5.8054729521472836e-05,0.007431005378748523
3584,3584,14336,-0.0025939643383026123,7.400798320770264,1.940065622329712,0.00020501110702753067,0.0,0.0001,14,32,15,16,16,18,17,0,0,0,0,0,0.25,1,0.03,5.728358794954147e-05,0.007332299257541308
3712,3712,14848,-0.0018453821539878845,36.839256286621094,1.9371564388275146,0.00025302451103925705,0.0,0.0001,20,21,22,16,17,14,18,0,0,0,0,0,0.171875,1,0.03,5.6146179360894166e-05,0.007186710958194453
3840,3840,15360,-0.0033446811139583588,67.79607391357422,1.9304046630859375,0.0004946272820234299,0.0,0.0001,19,22,23,12,18,20,14,0,0,0,0,0,0.1796875,1,0.03,5.92918053143876e-05,0.007589351080241613
