global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
197,197,788,0,197,788,569.0,0.0,569.0,665,665,437.6345177664975,14,0,1000000,3000,4
332,332,1328,1,135,540,586.0,0.0,586.0,670,670,317.6740740740741,14,0,1000000,3000,4
482,482,1928,2,150,600,638.0,0.0,638.0,722,723,459.52666666666664,15,0,1000000,3000,4
742,742,2968,3,260,1040,791.0,0.0,791.0,898,898,539.1038461538461,18,0,1000000,3000,4
2574,2574,10296,4,1832,7328,714.0,0.0,714.0,1137,1137,825.8231441048035,23,0,1000000,3000,4
2606,2606,10424,5,32,128,244.0,0.0,244.0,306,306,161.0625,7,0,1000000,3000,4
2645,2645,10580,6,39,156,238.0,0.0,238.0,303,303,153.89743589743588,7,0,1000000,3000,4
2706,2706,10824,7,61,244,199.0,0.0,199.0,268,268,159.4262295081967,6,0,1000000,3000,4
2864,2864,11456,8,158,632,795.0,0.0,795.0,883,883,495.8481012658228,18,0,1000000,3000,4
3241,3241,12964,9,377,1508,671.0,0.0,671.0,803,803,593.761273209549,17,0,1000000,3000,4
3675,3675,14700,10,434,1736,1009.0,0.0,1009.0,1153,1153,731.9723502304147,24,0,1000000,3000,4
4706,4706,18824,11,1031,4124,864.0,0.0,864.0,1125,1125,810.5043646944714,23,0,1000000,3000,4
4793,4793,19172,12,87,348,639.0,0.0,639.0,714,714,365.0689655172414,15,0,1000000,3000,4
4979,4979,19916,13,186,744,800.0,0.0,800.0,892,898,530.5698924731183,18,0,1000000,3000,4
5031,5031,20124,14,52,208,201.0,0.0,201.0,267,267,176.76923076923077,6,0,1000000,3000,4
5160,5160,20640,15,129,516,607.0,0.0,607.0,689,689,328.8992248062016,14,0,1000000,3000,4
5196,5196,20784,16,36,144,237.0,0.0,237.0,301,301,164.13888888888889,7,0,1000000,3000,4
5994,5994,23976,17,798,3192,682.0,0.0,682.0,896,898,678.1804511278195,18,0,1000000,3000,4
6296,6296,25184,18,302,1208,714.0,0.0,714.0,832,832,615.8112582781457,17,0,1000000,3000,4
6402,6402,25608,19,106,424,630.0,0.0,630.0,708,708,378.9433962264151,15,0,1000000,3000,4
7066,7066,28264,20,664,2656,936.0,0.0,936.0,1124,1124,735.7394578313254,23,0,1000000,3000,4
7264,7264,29056,21,198,792,802.0,0.0,802.0,895,898,536.2626262626262,18,0,1000000,3000,4
7688,7688,30752,22,424,1696,1268.0,0.0,1268.0,1407,1410,738.8985849056604,29,0,1000000,3000,4
7788,7788,31152,23,100,400,604.0,0.0,604.0,679,679,396.37,14,0,1000000,3000,4
7974,7974,31896,24,186,744,1047.0,0.0,1047.0,1141,1141,608.5537634408602,23,0,1000000,3000,4
8233,8233,32932,25,259,1036,1022.0,0.0,1022.0,1129,1129,682.7799227799228,23,0,1000000,3000,4
8481,8481,33924,26,248,992,1033.0,0.0,1033.0,1139,1139,685.7620967741935,23,0,1000000,3000,4
8706,8706,34824,27,225,900,1037.0,0.0,1037.0,1138,1138,636.7288888888888,23,0,1000000,3000,4
8887,8887,35548,28,181,724,1142.0,0.0,1142.0,1235,1235,608.6187845303867,25,0,1000000,3000,4
8992,8992,35968,29,105,420,605.0,0.0,605.0,682,682,374.12380952380954,14,0,1000000,3000,4
9021,9021,36084,30,29,116,247.0,0.0,247.0,310,310,157.58620689655172,7,0,1000000,3000,4
9228,9228,36912,31,207,828,802.0,0.0,802.0,898,898,528.0483091787439,18,0,1000000,3000,4
9257,9257,37028,32,29,116,250.0,0.0,250.0,313,313,154.68965517241378,7,0,1000000,3000,4
9289,9289,37156,33,32,128,245.0,0.0,245.0,309,309,154.96875,7,0,1000000,3000,4
9385,9385,37540,34,96,384,596.0,0.0,596.0,672,672,404.5729166666667,14,0,1000000,3000,4
9486,9486,37944,35,101,404,613.0,0.0,613.0,690,690,390.0792079207921,14,0,1000000,3000,4
9615,9615,38460,36,129,516,717.0,0.0,717.0,800,800,491.16279069767444,17,0,1000000,3000,4
10448,10448,41792,37,833,3332,677.0,0.0,677.0,898,898,697.9747899159664,18,0,1000000,3000,4
10845,10845,43380,38,397,1588,735.0,0.0,735.0,872,872,637.8035264483627,18,0,1000000,3000,4
11010,11010,44040,39,165,660,811.0,0.0,811.0,898,898,539.9272727272727,18,0,1000000,3000,4
11052,11052,44208,40,42,168,226.0,0.0,226.0,291,291,164.33333333333334,6,0,1000000,3000,4
11356,11356,45424,41,304,1216,717.0,0.0,717.0,833,833,596.7927631578947,17,0,1000000,3000,4
11453,11453,45812,42,97,388,631.0,0.0,631.0,707,707,378.36082474226805,15,0,1000000,3000,4
11615,11615,46460,43,162,648,635.0,0.0,635.0,722,722,490.68518518518516,15,0,1000000,3000,4
11833,11833,47332,44,218,872,1031.0,0.0,1031.0,1130,1130,605.5137614678899,23,0,1000000,3000,4
12058,12058,48232,45,225,900,622.0,0.0,622.0,722,722,530.32,15,0,1000000,3000,4
12238,12238,48952,46,180,720,747.0,0.0,747.0,839,839,509.74444444444447,17,0,1000000,3000,4
12278,12278,49112,47,40,160,231.0,0.0,231.0,295,295,160.15,6,0,1000000,3000,4
12602,12602,50408,48,324,1296,1017.0,0.0,1017.0,1138,1138,629.8981481481482,23,0,1000000,3000,4
12688,12688,50752,49,86,344,636.0,0.0,636.0,711,711,374.2325581395349,15,0,1000000,3000,4
12772,12772,51088,50,84,336,613.0,0.0,613.0,687,687,329.32142857142856,14,0,1000000,3000,4
13136,13136,52544,51,364,1456,1304.0,0.0,1304.0,1434,1434,694.6263736263736,29,0,1000000,3000,4
13498,13498,53992,52,362,1448,1282.0,0.0,1282.0,1411,1411,752.2762430939226,29,0,1000000,3000,4
13575,13575,54300,53,77,308,608.0,0.0,608.0,679,679,331.4935064935065,14,0,1000000,3000,4
13610,13610,54440,54,35,140,248.0,0.0,248.0,312,312,153.17142857142858,7,0,1000000,3000,4
13651,13651,54604,55,41,164,232.0,0.0,232.0,297,297,158.41463414634146,6,0,1000000,3000,4
13684,13684,54736,56,33,132,237.0,0.0,237.0,301,301,167.3030303030303,7,0,1000000,3000,4
13910,13910,55640,57,226,904,1026.0,0.0,1026.0,1127,1127,642.141592920354,23,0,1000000,3000,4
14075,14075,56300,58,165,660,721.0,0.0,721.0,810,810,504.1333333333333,17,0,1000000,3000,4
14114,14114,56456,59,39,156,233.0,0.0,233.0,298,298,161.28205128205127,6,0,1000000,3000,4
14275,14275,57100,60,161,644,1039.0,0.0,1039.0,1127,1127,602.1552795031056,23,0,1000000,3000,4
14315,14315,57260,61,40,160,231.0,0.0,231.0,296,296,160.55,6,0,1000000,3000,4
14463,14463,57852,62,148,592,1046.0,0.0,1046.0,1131,1131,575.1756756756756,23,0,1000000,3000,4
14662,14662,58648,63,199,796,1319.0,0.0,1319.0,1414,1414,716.2060301507538,29,0,1000000,3000,4
14759,14759,59036,64,97,388,626.0,0.0,626.0,702,702,356.5154639175258,15,0,1000000,3000,4
14862,14862,59448,65,103,412,629.0,0.0,629.0,706,706,371.06796116504853,15,0,1000000,3000,4
15019,15019,60076,66,157,628,783.0,0.0,783.0,871,871,518.3566878980891,18,0,1000000,3000,4
15292,15292,61168,67,273,1092,759.0,0.0,759.0,870,870,601.2344322344322,18,0,1000000,3000,4
15472,15472,61888,68,180,720,1047.0,0.0,1047.0,1139,1139,577.1833333333333,23,0,1000000,3000,4
15508,15508,62032,69,36,144,237.0,0.0,237.0,300,300,157.05555555555554,7,0,1000000,3000,4
15547,15547,62188,70,39,156,235.0,0.0,235.0,298,298,159.87179487179486,6,0,1000000,3000,4
15667,15667,62668,71,120,480,603.0,0.0,603.0,684,684,384.7,14,0,1000000,3000,4
16001,16001,64004,72,334,1336,1668.0,0.0,1668.0,1792,1792,875.7155688622754,36,0,1000000,3000,4
16036,16036,64144,73,35,140,240.0,0.0,240.0,304,304,154.4857142857143,7,0,1000000,3000,4
16075,16075,64300,74,39,156,236.0,0.0,236.0,301,301,152.82051282051282,7,0,1000000,3000,4
16268,16268,65072,75,193,772,1138.0,0.0,1138.0,1232,1232,624.0569948186528,25,0,1000000,3000,4
16491,16491,65964,76,223,892,1038.0,0.0,1038.0,1139,1139,669.8161434977578,23,0,1000000,3000,4
16603,16603,66412,77,112,448,591.0,0.0,591.0,670,670,388.0267857142857,14,0,1000000,3000,4
16718,16718,66872,78,115,460,611.0,0.0,611.0,691,691,381.0,14,0,1000000,3000,4
16816,16816,67264,79,98,392,615.0,0.0,615.0,691,691,386.5408163265306,14,0,1000000,3000,4
16907,16907,67628,80,91,364,631.0,0.0,631.0,706,706,367.14285714285717,15,0,1000000,3000,4
17025,17025,68100,81,118,472,620.0,0.0,620.0,701,701,384.41525423728814,15,0,1000000,3000,4
17124,17124,68496,82,99,396,621.0,0.0,621.0,697,697,378.04040404040404,14,0,1000000,3000,4
17353,17353,69412,83,229,916,1308.0,0.0,1308.0,1410,1410,698.9694323144105,29,0,1000000,3000,4
17393,17393,69572,84,40,160,232.0,0.0,232.0,297,297,160.65,6,0,1000000,3000,4
17557,17557,70228,85,164,656,778.0,0.0,778.0,868,868,539.1036585365854,18,0,1000000,3000,4
17667,17667,70668,86,110,440,624.0,0.0,624.0,702,702,376.1636363636364,15,0,1000000,3000,4
17702,17702,70808,87,35,140,242.0,0.0,242.0,305,305,158.94285714285715,7,0,1000000,3000,4
17799,17799,71196,88,97,388,648.0,0.0,648.0,722,722,348.30927835051546,15,0,1000000,3000,4
17837,17837,71348,89,38,152,239.0,0.0,239.0,303,303,153.23684210526315,7,0,1000000,3000,4
18109,18109,72436,90,272,1088,1028.0,0.0,1028.0,1138,1138,648.7205882352941,23,0,1000000,3000,4
18201,18201,72804,91,92,368,626.0,0.0,626.0,701,701,347.04347826086956,15,0,1000000,3000,4
18436,18436,73744,92,235,940,1035.0,0.0,1035.0,1138,1138,677.2723404255319,23,0,1000000,3000,4
18684,18684,74736,93,248,992,1688.0,0.0,1688.0,1793,1793,862.2379032258065,36,0,1000000,3000,4
18914,18914,75656,94,230,920,1426.0,0.0,1426.0,1529,1529,717.0478260869565,31,0,1000000,3000,4
19065,19065,76260,95,151,604,1050.0,0.0,1050.0,1137,1137,588.3311258278146,23,0,1000000,3000,4
19100,19100,76400,96,35,140,239.0,0.0,239.0,302,302,164.68571428571428,7,0,1000000,3000,4
19171,19171,76684,97,71,284,622.0,0.0,622.0,693,693,359.16901408450707,14,0,1000000,3000,4
19209,19209,76836,98,38,152,239.0,0.0,239.0,304,304,151.07894736842104,7,0,1000000,3000,4
19414,19414,77656,99,205,820,1337.0,0.0,1337.0,1435,1435,720.1073170731707,29,0,1000000,3000,4
19554,19554,78216,100,140,560,781.0,0.0,781.0,866,866,539.8642857142858,18,0,1000000,3000,4
19635,19635,78540,101,81,324,632.0,0.0,632.0,706,706,361.9012345679012,15,0,1000000,3000,4
19670,19670,78680,102,35,140,242.0,0.0,242.0,306,306,161.68571428571428,7,0,1000000,3000,4
19769,19769,79076,103,99,396,621.0,0.0,621.0,697,697,388.7878787878788,14,0,1000000,3000,4
19807,19807,79228,104,38,152,239.0,0.0,239.0,303,303,159.55263157894737,7,0,1000000,3000,4
19887,19887,79548,105,80,320,638.0,0.0,638.0,711,711,382.2875,15,0,1000000,3000,4
19991,19991,79964,106,104,416,606.0,0.0,606.0,683,683,400.25,14,0,1000000,3000,4
20023,20023,80092,107,32,128,250.0,0.0,250.0,314,314,150.34375,7,0,1000000,3000,4
20143,20143,80572,108,120,480,626.0,0.0,626.0,708,708,382.65,15,0,1000000,3000,4
20190,20190,80760,109,47,188,224.0,0.0,224.0,290,290,158.3404255319149,6,0,1000000,3000,4
20274,20274,81096,110,84,336,623.0,0.0,623.0,697,697,357.57142857142856,14,0,1000000,3000,4
20347,20347,81388,111,73,292,622.0,0.0,622.0,693,693,340.67123287671234,14,0,1000000,3000,4
20379,20379,81516,112,32,128,248.0,0.0,248.0,312,312,153.53125,7,0,1000000,3000,4
20552,20552,82208,113,173,692,749.0,0.0,749.0,840,840,504.05202312138726,17,0,1000000,3000,4
20586,20586,82344,114,34,136,242.0,0.0,242.0,305,305,158.38235294117646,7,0,1000000,3000,4
20619,20619,82476,115,33,132,247.0,0.0,247.0,311,311,152.21212121212122,7,0,1000000,3000,4
20657,20657,82628,116,38,152,242.0,0.0,242.0,307,307,152.18421052631578,7,0,1000000,3000,4
20856,20856,83424,117,199,796,1034.0,0.0,1034.0,1129,1129,640.7035175879397,23,0,1000000,3000,4
21076,21076,84304,118,220,880,1024.0,0.0,1024.0,1123,1123,619.6545454545454,23,0,1000000,3000,4
21265,21265,85060,119,189,756,1310.0,0.0,1310.0,1403,1403,669.7989417989418,29,0,1000000,3000,4
21303,21303,85212,120,38,152,237.0,0.0,237.0,302,302,158.47368421052633,7,0,1000000,3000,4
21338,21338,85352,121,35,140,246.0,0.0,246.0,310,310,153.17142857142858,7,0,1000000,3000,4
21516,21516,86064,122,178,712,1136.0,0.0,1136.0,1227,1227,667.5449438202247,25,0,1000000,3000,4
21545,21545,86180,123,29,116,248.0,0.0,248.0,311,311,160.6206896551724,7,0,1000000,3000,4
21581,21581,86324,124,36,144,240.0,0.0,240.0,303,303,158.27777777777777,7,0,1000000,3000,4
21620,21620,86480,125,39,156,235.0,0.0,235.0,299,299,162.02564102564102,6,0,1000000,3000,4
21859,21859,87436,126,239,956,1310.0,0.0,1310.0,1413,1413,729.8451882845188,29,0,1000000,3000,4
21896,21896,87584,127,37,148,233.0,0.0,233.0,297,297,164.2972972972973,6,0,1000000,3000,4
