global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.0068089962005615234,60.2137451171875,1.9457404613494873,0.00017981696873903275,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.0007037480772851268,0.09007975389249623
256,256,1024,-0.003574669361114502,22.454021453857422,1.9446061849594116,0.0003875410184264183,0.0,0.0001,18,19,14,22,12,21,22,0,0,0,0,0,0.171875,1,0.03,0.00019373164798253129,0.024797650941764005
384,384,1536,-0.011396046727895737,60.44226837158203,1.9401323795318604,0.0012453943490982056,0.0,0.0001,20,18,18,18,20,19,15,0,0,0,0,0,0.15625,1,0.03,7.018442380513079e-05,0.008983606247056741
512,512,2048,-0.00023276358842849731,14.926955223083496,1.9247996807098389,0.0031597930938005447,0.06640625,0.0001,26,17,9,16,28,16,16,0,0,0,0,0,0.21875,1,0.03,3.428878960676229e-05,0.0043889650696655735
640,640,2560,0.004841357469558716,6.031755447387695,1.8935493230819702,0.004008363001048565,0.078125,0.0001,18,18,18,12,17,26,19,0,0,0,0,0,0.203125,1,0.03,2.3463476665597227e-05,0.003003325013196445
768,768,3072,0.010253328830003738,12.450523376464844,1.8595521450042725,0.0027824677526950836,0.1015625,0.0001,12,12,28,20,11,33,12,0,0,0,0,0,0.2578125,1,0.03,1.7200663073424494e-05,0.002201684873398335
896,896,3584,-0.00836026668548584,20.64609718322754,1.8480639457702637,0.0024239709600806236,0.04296875,0.0001,6,14,18,30,17,31,12,0,0,0,0,0,0.2421875,1,0.03,1.3878891728325016e-05,0.001776498141225602
1024,1024,4096,0.0010161921381950378,18.750144958496094,1.85283625125885,0.0009265867993235588,0.0,0.0001,14,12,24,21,16,31,10,0,0,0,0,0,0.2421875,1,0.03,1.2678085226980329e-05,0.0016227949090534821
1152,1152,4608,0.0110587477684021,8.85601806640625,1.873802661895752,0.0011563245207071304,0.0,0.0001,11,7,15,31,18,26,20,0,0,0,0,0,0.2421875,1,0.03,1.4518004725516676e-05,0.0018583046048661345
1280,1280,5120,0.004637368023395538,4.162715435028076,1.8933765888214111,0.0009719701483845711,0.0,0.0001,16,9,22,28,24,17,12,0,0,0,0,0,0.21875,1,0.03,1.5638757759006694e-05,0.002001760993152857
1408,1408,5632,-0.002881191670894623,9.302858352661133,1.9061015844345093,0.000917910598218441,0.0,0.0001,16,21,14,22,23,20,12,0,0,0,0,0,0.1796875,1,0.03,1.2999938263646982e-05,0.0016639920977468137
1536,1536,6144,0.0027299076318740845,3.320034980773926,1.913480281829834,0.00040580518543720245,0.0,0.0001,10,9,16,33,15,21,24,0,0,0,0,0,0.2578125,1,0.03,9.451857721387569e-06,0.0012098377883376088
1664,1664,6656,0.0049814507365226746,4.365299224853516,1.9252684116363525,0.0007862141355872154,0.0,0.0001,16,18,20,18,14,23,19,0,0,0,0,0,0.1796875,1,0.03,7.9007997904057e-06,0.0010113023731719295
1792,1792,7168,-0.0006147753447294235,2.920529365539551,1.9345457553863525,0.0009745117276906967,0.0,0.0001,20,13,14,32,21,19,9,0,0,0,0,0,0.25,1,0.03,7.759996652367818e-06,0.0009932795715030807
1920,1920,7680,0.0015581939369440079,2.0198888778686523,1.9410617351531982,0.000760120339691639,0.0,0.0001,10,17,15,23,19,25,19,0,0,0,0,0,0.1953125,1,0.03,7.419927104734825e-06,0.0009497506694060576
2048,2048,8192,0.0006895735859870911,4.3355631828308105,1.9445183277130127,0.0006237691268324852,0.0,0.0001,23,21,15,23,15,16,15,0,0,0,0,0,0.1796875,1,0.03,7.328124176808615e-06,0.0009379998946315027
2176,2176,8704,0.0038873516023159027,3.2516930103302,1.9457004070281982,0.00026651471853256226,0.0,0.0001,15,14,21,17,19,24,18,0,0,0,0,0,0.1875,1,0.03,7.21874102183051e-06,0.0009239988507943053
2304,2304,9216,-0.00023873895406723022,3.378498077392578,1.9458630084991455,2.2419728338718414e-05,0.0,0.0001,24,16,24,16,14,18,16,0,0,0,0,0,0.1875,1,0.03,6.592411732952996e-06,0.0008438287018179835
2432,2432,9728,-0.0011227168142795563,4.027535438537598,1.9457610845565796,3.053154796361923e-05,0.0,0.0001,8,27,25,22,20,14,12,0,0,0,0,0,0.2109375,1,0.03,5.898732400311246e-06,0.0007550377472398395
2560,2560,10240,0.000648152083158493,11.36428451538086,1.9454294443130493,4.107225686311722e-05,0.0,0.0001,20,17,16,10,21,22,22,0,0,0,0,0,0.171875,1,0.03,5.663823696266945e-06,0.000724969433122169
2688,2688,10752,-0.0009482651948928833,85.7247314453125,1.945349931716919,5.831010639667511e-06,0.0,0.0001,18,20,17,17,21,17,18,0,0,0,0,0,0.1640625,1,0.03,6.003948094246425e-06,0.0007685053560635424
2816,2816,11264,-1.2915581464767456e-05,68.12357330322266,1.9454662799835205,1.207645982503891e-05,0.0,0.0001,13,21,22,23,14,13,22,0,0,0,0,0,0.1796875,1,0.03,6.048642369194113e-06,0.0007742262232568464
2944,2944,11776,-0.001664184033870697,83.88410949707031,1.9456202983856201,1.77798792719841e-05,0.0,0.0001,17,14,19,12,24,23,19,0,0,0,0,0,0.1875,1,0.03,6.2040531645379815e-06,0.0007941188050608616
3072,3072,12288,-0.0020985454320907593,29.478870391845703,1.9456316232681274,5.654711276292801e-05,0.0,0.0001,17,16,27,23,18,16,11,0,0,0,0,0,0.2109375,1,0.03,7.086563719838068e-06,0.0009070801561392727
3200,3200,12800,-0.0015115924179553986,6.643587112426758,1.9453725814819336,5.802325904369354e-05,0.0,0.0001,15,18,14,23,19,24,15,0,0,0,0,0,0.1875,1,0.03,8.375642405411554e-06,0.001072082227892679
3328,3328,13312,-0.0003802552819252014,53.74138641357422,1.9450021982192993,3.810413181781769e-05,0.0,0.0001,17,21,18,18,17,20,17,0,0,0,0,0,0.1640625,1,0.03,8.265567615239888e-06,0.0010579926547507057
3456,3456,13824,-0.0012613683938980103,26.91083526611328,1.9440573453903198,0.00012813322246074677,0.0,0.0001,16,16,18,24,19,21,14,0,0,0,0,0,0.1875,1,0.03,6.455834402174787e-06,0.0008263468034783727
3584,3584,14336,-0.0003595147281885147,5.965858459472656,1.9426766633987427,8.652079850435257e-05,0.0,0.0001,13,32,13,16,16,19,19,0,0,0,0,0,0.25,1,0.03,5.234867369807716e-06,0.0006700630233353877
3712,3712,14848,-0.0004761330783367157,39.43567657470703,1.9413373470306396,9.009428322315216e-05,0.0,0.0001,20,21,21,16,17,14,19,0,0,0,0,0,0.1640625,1,0.03,4.558377940000469e-06,0.00058347237632006
3840,3840,15360,-0.001657918095588684,42.58490753173828,1.9384398460388184,0.0001962939277291298,0.0,0.0001,19,22,23,11,18,21,14,0,0,0,0,0,0.1796875,1,0.03,4.974128824386526e-06,0.0006366884895214753
3968,3968,15872,-0.0031824782490730286,6.41928768157959,1.9347680807113647,0.00018173828721046448,0.0,0.0001,21,16,21,21,21,13,15,0,0,0,0,0,0.1640625,1,0.03,5.21402846231922e-06,0.0006673956431768602
