global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
197,197,788,0,197,788,569.0,0.0,569.0,665,665,437.6345177664975,14,0,1000000,3000,4
332,332,1328,1,135,540,586.0,0.0,586.0,670,670,317.6740740740741,14,0,1000000,3000,4
482,482,1928,2,150,600,638.0,0.0,638.0,722,723,459.52666666666664,15,0,1000000,3000,4
742,742,2968,3,260,1040,791.0,0.0,791.0,898,898,539.1038461538461,18,0,1000000,3000,4
1517,1517,6068,4,775,3100,1018.0,0.0,1018.0,1231,1231,704.7445161290323,25,0,1000000,3000,4
1993,1993,7972,5,476,1904,1086.0,0.0,1086.0,1239,1239,652.1323529411765,25,0,1000000,3000,4
2253,2253,9012,6,260,1040,1014.0,0.0,1014.0,1120,1122,621.45,23,0,1000000,3000,4
2339,2339,9356,7,86,344,611.0,0.0,611.0,684,684,341.59302325581393,14,0,1000000,3000,4
3864,3864,15456,8,1525,6100,760.0,0.0,760.0,1119,1122,748.5291803278689,23,0,1000000,3000,4
4901,4901,19604,9,1037,4148,868.0,0.0,868.0,1132,1132,754.9450337512054,23,0,1000000,3000,4
5452,5452,21808,10,551,2204,669.0,0.0,669.0,836,836,620.399274047187,17,0,1000000,3000,4
5619,5619,22476,11,167,668,634.0,0.0,634.0,722,722,455.6946107784431,15,0,1000000,3000,4
6421,6421,25684,12,802,3208,2536.0,0.0,2536.0,2752,2752,1139.9625935162094,56,0,1000000,3000,4
6651,6651,26604,13,230,920,755.0,0.0,755.0,856,856,514.6086956521739,18,0,1000000,3000,4
7052,7052,28208,14,401,1604,1534.0,0.0,1534.0,1672,1672,763.1720698254364,34,0,1000000,3000,4
7156,7156,28624,15,104,416,606.0,0.0,606.0,683,683,379.47115384615387,14,0,1000000,3000,4
7185,7185,28740,16,29,116,249.0,0.0,249.0,312,312,153.41379310344828,7,0,1000000,3000,4
7267,7267,29068,17,82,328,619.0,0.0,619.0,693,693,398.8414634146341,14,0,1000000,3000,4
7308,7308,29232,18,41,164,230.0,0.0,230.0,296,296,163.6341463414634,6,0,1000000,3000,4
7339,7339,29356,19,31,124,250.0,0.0,250.0,314,314,156.67741935483872,7,0,1000000,3000,4
7533,7533,30132,20,194,776,1428.0,0.0,1428.0,1523,1523,728.7680412371134,31,0,1000000,3000,4
7806,7806,31224,21,273,1092,1322.0,0.0,1322.0,1434,1434,695.3040293040293,29,0,1000000,3000,4
7955,7955,31820,22,149,596,785.0,0.0,785.0,871,871,555.51677852349,18,0,1000000,3000,4
8113,8113,32452,23,158,632,812.0,0.0,812.0,898,899,545.5253164556962,18,0,1000000,3000,4
8146,8146,32584,24,33,132,249.0,0.0,249.0,313,313,144.4848484848485,7,0,1000000,3000,4
8333,8333,33332,25,187,748,806.0,0.0,806.0,898,899,615.6737967914438,18,0,1000000,3000,4
8426,8426,33704,26,93,372,608.0,0.0,608.0,682,682,322.4623655913978,14,0,1000000,3000,4
8523,8523,34092,27,97,388,618.0,0.0,618.0,694,694,389.8144329896907,14,0,1000000,3000,4
8562,8562,34248,28,39,156,240.0,0.0,240.0,304,304,150.5897435897436,7,0,1000000,3000,4
8640,8640,34560,29,78,312,639.0,0.0,639.0,711,711,384.46153846153845,15,0,1000000,3000,4
8790,8790,35160,30,150,600,1042.0,0.0,1042.0,1127,1127,560.0533333333333,23,0,1000000,3000,4
8959,8959,35836,31,169,676,1338.0,0.0,1338.0,1429,1429,716.7041420118343,29,0,1000000,3000,4
9003,9003,36012,32,44,176,227.0,0.0,227.0,293,293,154.5909090909091,6,0,1000000,3000,4
9094,9094,36376,33,91,364,621.0,0.0,621.0,697,697,346.1868131868132,14,0,1000000,3000,4
9126,9126,36504,34,32,128,248.0,0.0,248.0,312,312,155.09375,7,0,1000000,3000,4
9218,9218,36872,35,92,368,632.0,0.0,632.0,707,707,343.4021739130435,15,0,1000000,3000,4
9260,9260,37040,36,42,168,237.0,0.0,237.0,303,303,139.76190476190476,7,0,1000000,3000,4
9447,9447,37788,37,187,748,630.0,0.0,630.0,722,722,433.3850267379679,15,0,1000000,3000,4
9491,9491,37964,38,44,176,224.0,0.0,224.0,289,289,161.13636363636363,6,0,1000000,3000,4
9532,9532,38128,39,41,164,236.0,0.0,236.0,300,300,153.9512195121951,7,0,1000000,3000,4
9648,9648,38592,40,116,464,583.0,0.0,583.0,662,662,385.91379310344826,14,0,1000000,3000,4
9685,9685,38740,41,37,148,246.0,0.0,246.0,309,309,147.32432432432432,7,0,1000000,3000,4
9767,9767,39068,42,82,328,630.0,0.0,630.0,704,704,353.7073170731707,15,0,1000000,3000,4
10045,10045,40180,43,278,1112,774.0,0.0,774.0,885,885,587.4676258992806,18,0,1000000,3000,4
10223,10223,40892,44,178,712,757.0,0.0,757.0,848,848,531.2696629213483,17,0,1000000,3000,4
10438,10438,41752,45,215,860,1044.0,0.0,1044.0,1144,1144,567.7116279069768,23,0,1000000,3000,4
10965,10965,43860,46,527,2108,1251.0,0.0,1251.0,1412,1412,799.6982922201139,29,0,1000000,3000,4
11119,11119,44476,47,154,616,637.0,0.0,637.0,722,722,483.012987012987,15,0,1000000,3000,4
11225,11225,44900,48,106,424,624.0,0.0,624.0,703,703,326.6320754716981,15,0,1000000,3000,4
11276,11276,45104,49,51,204,221.0,0.0,221.0,286,286,150.68627450980392,6,0,1000000,3000,4
11469,11469,45876,50,193,772,606.0,0.0,606.0,701,701,436.5181347150259,15,0,1000000,3000,4
11520,11520,46080,51,51,204,229.0,0.0,229.0,295,295,136.49019607843138,6,0,1000000,3000,4
11680,11680,46720,52,160,640,572.0,0.0,572.0,660,660,400.6,14,0,1000000,3000,4
11725,11725,46900,53,45,180,231.0,0.0,231.0,296,296,152.57777777777778,6,0,1000000,3000,4
12056,12056,48224,54,331,1324,1888.0,0.0,1888.0,2010,2010,941.7401812688822,41,0,1000000,3000,4
12180,12180,48720,55,124,496,598.0,0.0,598.0,678,678,379.33870967741933,14,0,1000000,3000,4
12296,12296,49184,56,116,464,608.0,0.0,608.0,687,687,360.3189655172414,14,0,1000000,3000,4
12555,12555,50220,57,259,1036,1020.0,0.0,1020.0,1126,1126,666.1776061776062,23,0,1000000,3000,4
12855,12855,51420,58,300,1200,1384.0,0.0,1384.0,1501,1501,766.9566666666667,31,0,1000000,3000,4
13042,13042,52168,59,187,748,1042.0,0.0,1042.0,1136,1136,580.6310160427807,23,0,1000000,3000,4
13297,13297,53188,60,255,1020,1319.0,0.0,1319.0,1426,1426,706.5764705882353,29,0,1000000,3000,4
13487,13487,53948,61,190,760,1321.0,0.0,1321.0,1416,1416,703.5631578947368,29,0,1000000,3000,4
13587,13587,54348,62,100,400,627.0,0.0,627.0,703,703,353.88,15,0,1000000,3000,4
13631,13631,54524,63,44,176,233.0,0.0,233.0,299,299,140.4318181818182,6,0,1000000,3000,4
13734,13734,54936,64,103,412,608.0,0.0,608.0,685,685,336.3883495145631,14,0,1000000,3000,4
13775,13775,55100,65,41,164,231.0,0.0,231.0,295,295,160.26829268292684,6,0,1000000,3000,4
13811,13811,55244,66,36,144,247.0,0.0,247.0,312,312,152.22222222222223,7,0,1000000,3000,4
13880,13880,55520,67,69,276,605.0,0.0,605.0,676,676,310.39130434782606,14,0,1000000,3000,4
14027,14027,56108,68,147,588,597.0,0.0,597.0,683,683,448.63945578231295,14,0,1000000,3000,4
14125,14125,56500,69,98,392,624.0,0.0,624.0,700,700,373.7040816326531,15,0,1000000,3000,4
14257,14257,57028,70,132,528,602.0,0.0,602.0,684,684,363.81060606060606,14,0,1000000,3000,4
14302,14302,57208,71,45,180,232.0,0.0,232.0,297,297,149.53333333333333,6,0,1000000,3000,4
14355,14355,57420,72,53,212,212.0,0.0,212.0,278,278,161.20754716981133,6,0,1000000,3000,4
14642,14642,58568,73,287,1148,786.0,0.0,786.0,898,898,647.3693379790941,18,0,1000000,3000,4
15097,15097,60388,74,455,1820,1006.0,0.0,1006.0,1154,1154,767.8065934065934,24,0,1000000,3000,4
15135,15135,60540,75,38,152,242.0,0.0,242.0,307,307,146.47368421052633,7,0,1000000,3000,4
15229,15229,60916,76,94,376,612.0,0.0,612.0,687,687,383.24468085106383,14,0,1000000,3000,4
15326,15326,61304,77,97,388,628.0,0.0,628.0,704,704,364.2680412371134,15,0,1000000,3000,4
15372,15372,61488,78,46,184,212.0,0.0,212.0,277,277,173.04347826086956,6,0,1000000,3000,4
15407,15407,61628,79,35,140,249.0,0.0,249.0,314,314,145.8,7,0,1000000,3000,4
15812,15812,63248,80,405,1620,1286.0,0.0,1286.0,1424,1424,803.3333333333334,29,0,1000000,3000,4
15865,15865,63460,81,53,212,214.0,0.0,214.0,281,281,152.9056603773585,6,0,1000000,3000,4
15908,15908,63632,82,43,172,224.0,0.0,224.0,288,288,167.30232558139534,6,0,1000000,3000,4
15952,15952,63808,83,44,176,232.0,0.0,232.0,297,297,154.0909090909091,6,0,1000000,3000,4
16001,16001,64004,84,49,196,220.0,0.0,220.0,285,285,156.9591836734694,6,0,1000000,3000,4
16660,16660,66640,85,659,2636,936.0,0.0,936.0,1122,1122,769.7192716236723,23,0,1000000,3000,4
16760,16760,67040,86,100,400,625.0,0.0,625.0,701,701,369.43,15,0,1000000,3000,4
17248,17248,68992,87,488,1952,746.0,0.0,746.0,898,898,683.0717213114754,18,0,1000000,3000,4
17560,17560,70240,88,312,1248,1009.0,0.0,1009.0,1126,1126,735.3717948717949,23,0,1000000,3000,4
17786,17786,71144,89,226,904,798.0,0.0,798.0,898,898,593.9557522123894,18,0,1000000,3000,4
17888,17888,71552,90,102,408,616.0,0.0,616.0,692,692,376.5,14,0,1000000,3000,4
18254,18254,73016,91,366,1464,693.0,0.0,693.0,824,824,594.6311475409836,17,0,1000000,3000,4
18804,18804,75216,92,550,2200,733.0,0.0,733.0,898,901,686.3981818181818,19,0,1000000,3000,4
19058,19058,76232,93,254,1016,793.0,0.0,793.0,898,899,694.2992125984252,18,0,1000000,3000,4
19309,19309,77236,94,251,1004,1327.0,0.0,1327.0,1435,1435,711.8127490039841,29,0,1000000,3000,4
19393,19393,77572,95,84,336,625.0,0.0,625.0,699,699,350.39285714285717,14,0,1000000,3000,4
20232,20232,80928,96,839,3356,924.0,0.0,924.0,1149,1149,704.4636471990465,23,0,1000000,3000,4
20390,20390,81560,97,158,632,636.0,0.0,636.0,722,722,475.32278481012656,15,0,1000000,3000,4
20591,20591,82364,98,201,804,803.0,0.0,803.0,898,898,552.044776119403,18,0,1000000,3000,4
21469,21469,85876,99,878,3512,1202.0,0.0,1202.0,1435,1435,730.6150341685649,29,0,1000000,3000,4
21522,21522,86088,100,53,212,210.0,0.0,210.0,277,277,157.16981132075472,6,0,1000000,3000,4
21553,21553,86212,101,31,124,251.0,0.0,251.0,314,314,149.74193548387098,7,0,1000000,3000,4
21797,21797,87188,102,244,976,734.0,0.0,734.0,840,840,521.3852459016393,17,0,1000000,3000,4
21834,21834,87336,103,37,148,229.0,0.0,229.0,293,293,171.35135135135135,6,0,1000000,3000,4
22010,22010,88040,104,176,704,605.0,0.0,605.0,698,698,445.5625,14,0,1000000,3000,4
22055,22055,88220,105,45,180,239.0,0.0,239.0,304,304,135.51111111111112,7,0,1000000,3000,4
22160,22160,88640,106,105,420,618.0,0.0,618.0,694,694,371.1714285714286,14,0,1000000,3000,4
22193,22193,88772,107,33,132,247.0,0.0,247.0,311,311,147.15151515151516,7,0,1000000,3000,4
22546,22546,90184,108,353,1412,997.0,0.0,997.0,1122,1122,655.3796033994334,23,0,1000000,3000,4
22645,22645,90580,109,99,396,626.0,0.0,626.0,702,702,365.26262626262627,15,0,1000000,3000,4
23149,23149,92596,110,504,2016,971.0,0.0,971.0,1127,1127,726.0496031746031,23,0,1000000,3000,4
23183,23183,92732,111,34,136,246.0,0.0,246.0,310,310,148.94117647058823,7,0,1000000,3000,4
23306,23306,93224,112,123,492,750.0,0.0,750.0,832,832,511.2682926829268,17,0,1000000,3000,4
23356,23356,93424,113,50,200,206.0,0.0,206.0,273,273,169.46,6,0,1000000,3000,4
23682,23682,94728,114,326,1304,1030.0,0.0,1030.0,1153,1153,680.3251533742331,24,0,1000000,3000,4
23819,23819,95276,115,137,548,640.0,0.0,640.0,722,722,538.007299270073,15,0,1000000,3000,4
24146,24146,96584,116,327,1308,1284.0,0.0,1284.0,1406,1406,798.571865443425,29,0,1000000,3000,4
24181,24181,96724,117,35,140,234.0,0.0,234.0,297,297,166.4,6,0,1000000,3000,4
24278,24278,97112,118,97,388,630.0,0.0,630.0,706,706,361.680412371134,15,0,1000000,3000,4
24316,24316,97264,119,38,152,239.0,0.0,239.0,304,304,158.26315789473685,7,0,1000000,3000,4
24397,24397,97588,120,81,324,630.0,0.0,630.0,704,704,365.22222222222223,15,0,1000000,3000,4
24440,24440,97760,121,43,172,227.0,0.0,227.0,292,292,164.5581395348837,6,0,1000000,3000,4
24473,24473,97892,122,33,132,245.0,0.0,245.0,309,309,162.33333333333334,7,0,1000000,3000,4
24573,24573,98292,123,100,400,595.0,0.0,595.0,671,671,404.94,14,0,1000000,3000,4
24742,24742,98968,124,169,676,810.0,0.0,810.0,898,898,560.3431952662722,18,0,1000000,3000,4
24780,24780,99120,125,38,152,238.0,0.0,238.0,301,301,155.6315789473684,7,0,1000000,3000,4
24993,24993,99972,126,213,852,1311.0,0.0,1311.0,1410,1410,735.9342723004695,29,0,1000000,3000,4
25028,25028,100112,127,35,140,237.0,0.0,237.0,301,301,163.8,7,0,1000000,3000,4
