global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.0068307965993881226,60.293087005615234,1.9457404613494873,0.00018000230193138123,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.004280296148976959,0.5478779070690507
256,256,1024,-0.0035591423511505127,22.6729736328125,1.944602131843567,0.00038887374103069305,0.0,0.0001,18,19,14,22,12,21,22,0,0,0,0,0,0.171875,1,0.03,0.002825239616811359,0.36163067095185397
384,384,1536,-0.01129569299519062,60.78564453125,1.94010591506958,0.0012502819299697876,0.0,0.0001,20,18,18,18,20,19,15,0,0,0,0,0,0.15625,1,0.03,0.003437096272591589,0.43994832289172336
512,512,2048,-6.690621376037598e-05,15.026874542236328,1.924694538116455,0.0031741857528686523,0.0625,0.0001,26,17,9,16,28,16,16,0,0,0,0,0,0.21875,1,0.03,0.0025123993573288317,0.32158711773809046
640,640,2560,0.004751875996589661,6.02923059463501,1.8932889699935913,0.004024668596684933,0.078125,0.0001,18,18,18,12,17,26,19,0,0,0,0,0,0.203125,1,0.03,0.0008950204825168839,0.11456262176216114
768,768,3072,0.010472372174263,12.394067764282227,1.8589398860931396,0.002810884267091751,0.1015625,0.0001,12,12,28,20,11,33,12,0,0,0,0,0,0.2578125,1,0.03,0.0019960843664534877,0.25549879890604643
896,896,3584,-0.008480705320835114,20.6464786529541,1.8472661972045898,0.002446184866130352,0.04296875,0.0001,6,14,18,30,17,31,12,0,0,0,0,0,0.2421875,1,0.03,0.0008584024351421249,0.10987551169819199
1024,1024,4096,-0.001705339178442955,19.67099380493164,1.8505334854125977,0.001034807413816452,0.0,0.0001,12,16,22,18,21,32,7,0,0,0,0,0,0.25,1,0.03,0.00016466043075524794,0.021076535136671737
1152,1152,4608,-0.004868671298027039,8.334067344665527,1.8726747035980225,0.0014722580090165138,0.0,0.0001,15,12,16,28,16,27,14,0,0,0,0,0,0.21875,1,0.03,5.801155262474822e-05,0.007425478735967772
1280,1280,5120,0.003538064658641815,5.785730361938477,1.8976068496704102,0.0015680305659770966,0.0,0.0001,12,10,14,35,17,31,9,0,0,0,0,0,0.2734375,1,0.03,4.3560632576600256e-05,0.005575760969804833
