global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.0068086907267570496,60.211097717285156,1.9457404613494873,0.0001798085868358612,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.000422225147701738,0.05404481890582247
256,256,1024,-0.0016303658485412598,20.990577697753906,1.9446430206298828,0.00035811401903629303,0.0,0.0001,18,20,13,23,9,21,24,0,0,0,0,0,0.1875,1,0.03,0.0002594335931576097,0.033207499924174044
384,384,1536,-0.0003380812704563141,20.26227378845215,1.9413199424743652,0.0007404051721096039,0.0,0.0001,17,18,17,18,24,19,15,0,0,0,0,0,0.1875,1,0.03,0.00037095187785496364,0.047481840365435346
512,512,2048,-0.009770076721906662,44.309600830078125,1.9313957691192627,0.0018452592194080353,0.0,0.0001,27,15,14,16,26,15,15,0,0,0,0,0,0.2109375,1,0.03,0.0003841331723890562,0.04916904606579919
640,640,2560,-0.011538606137037277,22.317302703857422,1.916314721107483,0.0019239280372858047,0.0390625,0.0001,20,21,19,10,22,21,15,0,0,0,0,0,0.171875,1,0.03,0.000266830275677421,0.03415427528670989
768,768,3072,-0.00823260098695755,13.935827255249023,1.9131104946136475,0.0004636133089661598,0.0,0.0001,16,13,31,17,12,28,11,0,0,0,0,0,0.2421875,1,0.03,9.17112233764783e-05,0.011739036592189223
896,896,3584,0.0057460227981209755,7.055282115936279,1.922074794769287,0.0007360484451055527,0.0,0.0001,8,17,21,24,23,25,10,0,0,0,0,0,0.1953125,1,0.03,6.617719512291842e-05,0.008470680975733558
1024,1024,4096,-0.002142985351383686,4.333009719848633,1.9307780265808105,0.0008398508653044701,0.0,0.0001,21,16,22,18,15,24,12,0,0,0,0,0,0.1875,1,0.03,5.0267534859926855e-05,0.006434244462070637
1152,1152,4608,0.0006179884076118469,2.990039825439453,1.9367473125457764,0.0005039284005761147,0.0,0.0001,21,13,16,24,17,28,9,0,0,0,0,0,0.21875,1,0.03,5.3892707171598886e-05,0.006898266517964657
1280,1280,5120,0.0017651841044425964,4.091451644897461,1.9407100677490234,0.00034690462052822113,0.0,0.0001,19,22,19,18,15,22,13,0,0,0,0,0,0.171875,1,0.03,4.921320696382736e-05,0.006299290491369902
1408,1408,5632,0.0008696466684341431,81.45137023925781,1.9416851997375488,8.718855679035187e-05,0.0,0.0001,23,19,18,22,14,21,11,0,0,0,0,0,0.1796875,1,0.03,0.0003480630842176424,0.04455207477985823
1536,1536,6144,-7.559359073638916e-05,35.683326721191406,1.9404680728912354,8.58604907989502e-05,0.0,0.0001,21,12,19,13,23,23,17,0,0,0,0,0,0.1796875,1,0.03,0.0003423493946002054,0.04382072250882629
1664,1664,6656,0.003177158534526825,31.824506759643555,1.9367733001708984,0.0003235023468732834,0.0,0.0001,22,14,25,15,14,24,14,0,0,0,0,0,0.1953125,1,0.03,0.0004168359439518099,0.05335500082583167
1792,1792,7168,-0.0010769180953502655,53.68769073486328,1.928494930267334,0.0008035050705075264,0.0,0.0001,12,23,26,18,22,21,6,0,0,0,0,0,0.203125,1,0.03,0.0003389991402968917,0.04339188995800214
1920,1920,7680,0.00024366378784179688,26.665748596191406,1.9119185209274292,0.0022666286677122116,0.03515625,0.0001,18,16,24,11,15,24,20,0,0,0,0,0,0.1875,1,0.03,0.00028686720672510546,0.0367190024608135
2048,2048,8192,0.004868905991315842,24.192411422729492,1.8801064491271973,0.003216611221432686,0.04296875,0.0001,23,17,24,8,21,24,11,0,0,0,0,0,0.1875,1,0.03,0.0003883613305220024,0.049710250306816306
2176,2176,8704,0.004442557692527771,29.220703125,1.8305583000183105,0.005541623570024967,0.11328125,0.0001,27,10,32,14,13,28,4,0,0,0,0,0,0.25,1,0.03,0.00023791986205878857,0.030453742343524937
2304,2304,9216,0.0023593902587890625,43.1574821472168,1.7744578123092651,0.0054339757189154625,0.13671875,0.0001,18,18,26,15,13,34,4,0,0,0,0,0,0.265625,1,0.03,0.000507920198742795,0.06501378543907776
2432,2432,9728,-0.004111599177122116,13.176899909973145,1.6722097396850586,0.010105776600539684,0.17578125,0.0001,14,13,32,11,11,44,3,0,0,0,0,0,0.34375,1,0.03,0.000608400078192517,0.07787521000864217
2560,2560,10240,0.030318275094032288,5.319241523742676,1.5369223356246948,0.009036512114107609,0.1796875,0.0001,7,11,42,8,5,50,5,0,0,0,0,0,0.390625,1,0.03,0.0005606501095201111,0.07176321401857422
2688,2688,10752,0.010249018669128418,18.402626037597656,1.4887362718582153,0.004780817776918411,0.078125,0.0001,7,11,48,12,5,44,1,0,0,0,0,0,0.375,1,0.03,0.00037830664376770073,0.048423250402265694
2816,2816,11264,0.012399658560752869,7.961036682128906,1.435758352279663,0.005879960022866726,0.37890625,0.0001,2,16,53,11,3,39,4,0,0,0,0,0,0.4140625,1,0.03,0.0003370626502601226,0.043144019233295694
2944,2944,11776,0.009379994124174118,19.275497436523438,1.5138710737228394,0.011505424976348877,0.3359375,0.0001,6,18,50,17,2,35,0,0,0,0,0,0,0.390625,1,0.03,0.00037541695566289945,0.04805337032485113
3072,3072,12288,0.015463853254914284,26.78343963623047,1.5912519693374634,0.00752447172999382,0.203125,0.0001,5,21,51,9,1,38,3,0,0,0,0,0,0.3984375,1,0.03,0.0002539099004223999,0.03250046725406719
3200,3200,12800,-0.015892531722784042,16.352554321289062,1.6344504356384277,0.01279980968683958,0.27734375,0.0001,6,20,34,23,1,42,2,0,0,0,0,0,0.328125,1,0.03,0.0003289803894404031,0.042109489848371595
3328,3328,13312,0.025289252400398254,32.46491241455078,1.6676218509674072,0.009888533502817154,0.22265625,0.0001,3,17,27,23,5,44,9,0,0,0,0,0,0.34375,1,0.03,0.00019919850950600448,0.025497409216768574
3456,3456,13824,0.006872348487377167,32.68722915649414,1.7160253524780273,0.002942821942269802,0.12109375,0.0001,7,25,23,15,6,42,10,0,0,0,0,0,0.328125,1,0.03,0.00025232957888476903,0.032298186097250436
3584,3584,14336,0.0015315599739551544,17.281723022460938,1.7418938875198364,0.0018679583445191383,0.0078125,0.0001,13,21,14,21,6,47,6,0,0,0,0,0,0.3671875,1,0.03,0.00028328645180408785,0.036260665830923244
3712,3712,14848,0.006074234843254089,12.234249114990234,1.7872846126556396,0.0018239254131913185,0.0078125,0.0001,4,28,15,21,9,38,13,0,0,0,0,0,0.296875,1,0.03,0.00019927494508920063,0.02550719297141768
3840,3840,15360,-0.0016661584377288818,6.787894248962402,1.8334369659423828,0.0022932104766368866,0.0390625,0.0001,9,36,10,14,10,40,9,0,0,0,0,0,0.3125,1,0.03,0.00011939738811861389,0.015282865679182578
3968,3968,15872,0.007404610514640808,4.42256498336792,1.8719699382781982,0.0018651606515049934,0.03515625,0.0001,6,24,15,27,10,30,16,0,0,0,0,0,0.234375,1,0.03,0.00011632696799779296,0.0148898519037175
4096,4096,16384,-0.0011582523584365845,21.96192169189453,1.8942396640777588,0.001096661202609539,0.0,0.0001,14,23,18,17,10,31,15,0,0,0,0,0,0.2421875,1,0.03,0.0002118298271227559,0.027114217871712754
4224,4224,16896,0.0025472715497016907,9.669463157653809,1.9057352542877197,0.0006373943760991096,0.0,0.0001,13,29,20,13,10,26,17,0,0,0,0,0,0.2265625,1,0.03,0.00015390275223126082,0.019699552285601385
4352,4352,17408,-0.0022916868329048157,9.76486587524414,1.9193873405456543,0.0008263280615210533,0.0,0.0001,11,23,16,20,11,34,13,0,0,0,0,0,0.265625,1,0.03,5.832973710084843e-05,0.0074662063489085995
4480,4480,17920,-0.0009599253535270691,12.499709129333496,1.9293631315231323,0.0007769372314214706,0.0,0.0001,11,20,23,16,15,18,25,0,0,0,0,0,0.1953125,1,0.03,0.00011486466905807902,0.014702677639434114
4608,4608,18432,-0.00364135205745697,89.25135803222656,1.929398536682129,0.0004399782046675682,0.0,0.0001,13,21,12,22,18,27,15,0,0,0,0,0,0.2109375,1,0.03,0.00041006015288758135,0.05248769956961041
4736,4736,18944,-0.0023084990680217743,30.82295799255371,1.9239907264709473,0.0004921425133943558,0.0,0.0001,12,19,14,16,19,31,17,0,0,0,0,0,0.2421875,1,0.03,0.0004002625314569741,0.051233604026492685
4864,4864,19456,0.0012583211064338684,40.654319763183594,1.9110382795333862,0.0008792132139205933,0.015625,0.0001,10,23,19,22,13,27,14,0,0,0,0,0,0.2109375,1,0.03,0.0004062730425431482,0.05200294944552297
4992,4992,19968,-0.006312865763902664,13.836482048034668,1.8979010581970215,0.0006406502798199654,0.0,0.0001,11,20,25,16,23,18,15,0,0,0,0,0,0.1953125,1,0.03,0.0002330375040742183,0.029828800521499943
5120,5120,20480,-0.0023813284933567047,18.259124755859375,1.90118408203125,0.00031946320086717606,0.0,0.0001,10,26,19,13,18,31,11,0,0,0,0,0,0.2421875,1,0.03,0.000251794508187686,0.03222969704802381
5248,5248,20992,-0.0008128806948661804,4.47316837310791,1.9145935773849487,0.0009787026792764664,0.015625,0.0001,7,18,18,17,21,27,20,0,0,0,0,0,0.2109375,1,0.03,0.00013111497321460774,0.01678271657146979
5376,5376,21504,-0.003826044499874115,29.191062927246094,1.9222149848937988,0.0002166377380490303,0.0,0.0001,11,18,19,13,23,24,20,0,0,0,0,0,0.1875,1,0.03,0.0001590298349611885,0.020355818875032128
5504,5504,22016,0.0006296634674072266,29.61530303955078,1.920017123222351,0.00011945981532335281,0.0,0.0001,8,19,18,17,20,21,25,0,0,0,0,0,0.1953125,1,0.03,0.0003830517588880866,0.04903062513767509
5632,5632,22528,-0.00427621603012085,10.88686466217041,1.917973279953003,0.00014363788068294525,0.0,0.0001,12,25,16,15,22,24,14,0,0,0,0,0,0.1953125,1,0.03,0.00024127525017547669,0.030883232022461016
5760,5760,23040,-0.0016117598861455917,5.710112571716309,1.9233349561691284,0.00045098550617694855,0.0,0.0001,16,18,19,14,24,25,12,0,0,0,0,0,0.1953125,1,0.03,0.00015077971750088182,0.019299803840112872
5888,5888,23552,-0.001916445791721344,5.835494518280029,1.930869698524475,0.0005362434312701225,0.0,0.0001,13,23,19,17,15,21,20,0,0,0,0,0,0.1796875,1,0.03,0.00013226909027252987,0.016930443554883823
6016,6016,24064,0.0009317249059677124,43.391693115234375,1.9347068071365356,0.00015526730567216873,0.0,0.0001,16,21,11,11,25,31,13,0,0,0,0,0,0.2421875,1,0.03,0.0003039943419480551,0.03891127576935105
6144,6144,24576,-0.0014627128839492798,59.02741241455078,1.9334243535995483,3.492366522550583e-05,0.0,0.0001,10,20,22,13,20,26,17,0,0,0,0,0,0.203125,1,0.03,0.0003339185201696182,0.04274157058171113
6272,6272,25088,-0.0007446557283401489,40.27696990966797,1.9291770458221436,0.00024290941655635834,0.0,0.0001,16,17,26,11,19,22,17,0,0,0,0,0,0.203125,1,0.03,0.00033402321217579356,0.042754971158501576
6400,6400,25600,-0.01191529631614685,19.481578826904297,1.9199864864349365,0.0007497305050492287,0.0,0.0001,13,20,23,11,20,26,15,0,0,0,0,0,0.203125,1,0.03,0.0003529668206851966,0.04517975304770516
6528,6528,26112,-0.027454739436507225,13.170854568481445,1.8927671909332275,0.004373630508780479,0.15234375,0.0001,12,25,18,14,25,21,13,0,0,0,0,0,0.1953125,1,0.03,0.0002632636659996024,0.033697749247949105
6656,6656,26624,-0.0003649704158306122,12.036502838134766,1.863903522491455,0.002042992040514946,0.0625,0.0001,12,16,16,12,26,29,17,0,0,0,0,0,0.2265625,1,0.03,0.00013969398472113426,0.017880830044305185
6784,6784,27136,-0.001808956265449524,32.68443298339844,1.8392974138259888,0.000936407595872879,0.0,0.0001,9,18,23,15,28,18,17,0,0,0,0,0,0.21875,1,0.03,0.00036470260999976745,0.04668193407997023
