global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
197,197,788,0,197,788,569.0,0.0,569.0,665,665,437.6345177664975,14,0,10000,3000,4
332,332,1328,1,135,540,586.0,0.0,586.0,670,670,317.6740740740741,14,0,10000,3000,4
482,482,1928,2,150,600,638.0,0.0,638.0,722,723,459.52666666666664,15,0,10000,3000,4
742,742,2968,3,260,1040,791.0,0.0,791.0,898,898,539.1038461538461,18,0,10000,3000,4
2574,2574,10296,4,1832,7328,714.0,0.0,714.0,1137,1137,825.8231441048035,23,0,10000,3000,4
2606,2606,10424,5,32,128,244.0,0.0,244.0,306,306,161.0625,7,0,10000,3000,4
2645,2645,10580,6,39,156,238.0,0.0,238.0,303,303,153.89743589743588,7,0,10000,3000,4
2706,2706,10824,7,61,244,199.0,0.0,199.0,268,268,159.4262295081967,6,0,10000,3000,4
2826,2826,11304,8,120,480,591.0,0.0,591.0,670,670,376.85,14,0,10000,3000,4
2990,2990,11960,9,164,656,621.0,0.0,621.0,710,710,457.3780487804878,15,0,10000,3000,4
3300,3300,13200,10,310,1240,1400.0,0.0,1400.0,1518,1518,716.7258064516129,31,0,10000,3000,4
3399,3399,13596,11,99,396,626.0,0.0,626.0,702,702,310.07070707070704,15,0,10000,3000,4
3527,3527,14108,12,128,512,603.0,0.0,603.0,685,685,371.8359375,14,0,10000,3000,4
3879,3879,15516,13,352,1408,1305.0,0.0,1305.0,1433,1433,727.6022727272727,29,0,10000,3000,4
4074,4074,16296,14,195,780,1034.0,0.0,1034.0,1129,1129,595.5435897435898,23,0,10000,3000,4
4225,4225,16900,15,151,604,637.0,0.0,637.0,722,722,483.66887417218544,15,0,10000,3000,4
4933,4933,19732,16,708,2832,1043.0,0.0,1043.0,1240,1240,805.8700564971751,25,0,10000,3000,4
4974,4974,19896,17,41,164,230.0,0.0,230.0,296,296,157.2439024390244,6,0,10000,3000,4
5011,5011,20044,18,37,148,240.0,0.0,240.0,305,305,148.56756756756758,7,0,10000,3000,4
5791,5791,23164,19,780,3120,927.0,0.0,927.0,1138,1138,752.1192307692307,23,0,10000,3000,4
6061,6061,24244,20,270,1080,1028.0,0.0,1028.0,1137,1137,689.0962962962963,23,0,10000,3000,4
6520,6520,26080,21,459,1836,697.0,0.0,697.0,844,844,642.5054466230937,17,0,10000,3000,4
7348,7348,29392,22,828,3312,903.0,0.0,903.0,1124,1124,804.7693236714975,23,0,10000,3000,4
8066,8066,32264,23,718,2872,1586.0,0.0,1586.0,1786,1786,802.100278551532,36,0,10000,3000,4
8124,8124,32496,24,58,232,214.0,0.0,214.0,282,282,147.5344827586207,6,0,10000,3000,4
8536,8536,34144,25,412,1648,987.0,0.0,987.0,1124,1124,693.507281553398,23,0,10000,3000,4
8582,8582,34328,26,46,184,234.0,0.0,234.0,300,300,135.56521739130434,7,0,10000,3000,4
8618,8618,34472,27,36,144,245.0,0.0,245.0,309,309,154.22222222222223,7,0,10000,3000,4
9289,9289,37156,28,671,2684,947.0,0.0,947.0,1138,1138,765.5305514157973,23,0,10000,3000,4
9330,9330,37320,29,41,164,236.0,0.0,236.0,302,302,149.0,7,0,10000,3000,4
9395,9395,37580,30,65,260,212.0,0.0,212.0,281,281,136.2,6,0,10000,3000,4
9505,9505,38020,31,110,440,595.0,0.0,595.0,673,673,390.6727272727273,14,0,10000,3000,4
9602,9602,38408,32,97,388,623.0,0.0,623.0,698,698,375.4845360824742,14,0,10000,3000,4
9750,9750,39000,33,148,592,638.0,0.0,638.0,722,722,483.43918918918916,15,0,10000,3000,4
