global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.006809122860431671,60.208457946777344,1.9457404613494873,0.0001798141747713089,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,1.841469727992262e-05,0.0023570812518300954
256,256,1024,-0.003574877977371216,22.45391845703125,1.9446061849594116,0.0003875838592648506,0.0,0.0001,18,19,14,22,12,21,22,0,0,0,0,0,0.171875,1,0.03,1.7582487870981822e-05,0.0022505584474856732
384,384,1536,-0.01139509305357933,60.4444580078125,1.9401326179504395,0.0012449752539396286,0.0,0.0001,20,18,18,18,20,19,15,0,0,0,0,0,0.15625,1,0.03,1.7379027056563245e-05,0.0022245154632400954
512,512,2048,-0.00023078173398971558,14.922300338745117,1.9247984886169434,0.0031610047444701195,0.06640625,0.0001,26,17,9,16,28,16,16,0,0,0,0,0,0.21875,1,0.03,1.6850599365625385e-05,0.0021568767188000493
640,640,2560,0.004840359091758728,6.031428813934326,1.8935503959655762,0.004007699899375439,0.078125,0.0001,18,18,18,12,17,26,19,0,0,0,0,0,0.203125,1,0.03,1.653012775904017e-05,0.0021158563531571417
768,768,3072,0.01025041937828064,12.450359344482422,1.8595643043518066,0.002781985327601433,0.1015625,0.0001,12,12,28,20,11,33,12,0,0,0,0,0,0.2578125,1,0.03,1.5635869900165744e-05,0.0020013913472212153
896,896,3584,-0.008354105055332184,20.64978790283203,1.8480710983276367,0.0024232231080532074,0.04296875,0.0001,6,14,18,30,17,31,12,0,0,0,0,0,0.2421875,1,0.03,1.5405445893179603e-05,0.0019718970743269892
1024,1024,4096,0.0010181590914726257,18.755395889282227,1.8528674840927124,0.0009259004145860672,0.0,0.0001,14,12,24,21,16,31,10,0,0,0,0,0,0.2421875,1,0.03,1.4868730659145513e-05,0.0019031975243706256
1152,1152,4608,0.011060282588005066,8.854395866394043,1.8738243579864502,0.0011567175388336182,0.0,0.0001,11,7,15,31,18,26,20,0,0,0,0,0,0.2421875,1,0.03,1.4728274209119263e-05,0.0018852190987672657
1280,1280,5120,0.004638053476810455,4.158892631530762,1.8933967351913452,0.0009726006537675858,0.0,0.0001,16,9,22,28,24,17,12,0,0,0,0,0,0.21875,1,0.03,1.4348657863649805e-05,0.001836628206547175
1408,1408,5632,-0.002876129001379013,9.304085731506348,1.9061046838760376,0.0009169941768050194,0.0,0.0001,16,21,14,22,23,20,12,0,0,0,0,0,0.1796875,1,0.03,1.4023700742882284e-05,0.0017950336950889323
1536,1536,6144,0.0027179569005966187,3.319465398788452,1.91347074508667,0.0004052016884088516,0.0,0.0001,10,9,16,33,15,21,24,0,0,0,0,0,0.2578125,1,0.03,1.4491728059340403e-05,0.0018549411915955716
1664,1664,6656,0.004984818398952484,4.360116958618164,1.925265908241272,0.000787791796028614,0.0,0.0001,16,18,20,18,14,23,19,0,0,0,0,0,0.1796875,1,0.03,1.4147231766514778e-05,0.0018108456661138916
1792,1792,7168,-0.0006114784628152847,2.9174017906188965,1.9345483779907227,0.0009759971871972084,0.0,0.0001,20,13,14,32,21,19,9,0,0,0,0,0,0.25,1,0.03,1.3836760302865514e-05,0.0017711053187667858
1920,1920,7680,0.0015612170100212097,2.0151772499084473,1.9410738945007324,0.0007630260661244392,0.0,0.0001,10,17,15,23,19,25,19,0,0,0,0,0,0.1953125,1,0.03,1.3548696330190069e-05,0.0017342331302643288
2048,2048,8192,0.0006907396018505096,4.333062648773193,1.944528579711914,0.0006253654137253761,0.0,0.0001,23,21,15,23,15,16,15,0,0,0,0,0,0.1796875,1,0.03,1.3289950715034138e-05,0.0017011136915243696
2176,2176,8704,0.003882419317960739,3.248098373413086,1.9457037448883057,0.00026567094027996063,0.0,0.0001,15,14,21,17,19,24,18,0,0,0,0,0,0.1875,1,0.03,1.3005659795339852e-05,0.001664724453803501
2304,2304,9216,-0.00026315078139305115,3.373534917831421,1.9458625316619873,2.1539628505706787e-05,0.0,0.0001,24,16,24,16,14,18,16,0,0,0,0,0,0.1875,1,0.03,1.2776237056755235e-05,0.0016353583432646701
2432,2432,9728,-0.0011540725827217102,4.008004665374756,1.945754885673523,3.2291747629642487e-05,0.0,0.0001,8,27,25,22,20,14,12,0,0,0,0,0,0.2109375,1,0.03,1.2539480337636633e-05,0.001605053483217489
2560,2560,10240,0.0006641373038291931,11.368354797363281,1.9454082250595093,4.2945146560668945e-05,0.0,0.0001,20,17,16,10,21,22,22,0,0,0,0,0,0.171875,1,0.03,1.2250197393370854e-05,0.0015680252663514693
2688,2688,10752,-0.000981844961643219,85.6763916015625,1.9453246593475342,6.116926670074463e-06,0.0,0.0001,18,20,17,17,21,17,18,0,0,0,0,0,0.1640625,1,0.03,1.148013338081455e-05,0.0014694570727442624
2816,2816,11264,-0.00021728873252868652,64.25851440429688,1.945447325706482,1.543387770652771e-05,0.0,0.0001,13,21,23,23,14,13,21,0,0,0,0,0,0.1796875,1,0.03,1.1488209075594114e-05,0.0014704907616760465
2944,2944,11776,0.00029679760336875916,53.016761779785156,1.945554494857788,2.5886110961437225e-05,0.0,0.0001,17,14,19,12,24,23,19,0,0,0,0,0,0.1875,1,0.03,1.1291258005030613e-05,0.0014452810246439185
3072,3072,12288,-0.0030410178005695343,40.77742004394531,1.945411205291748,4.617776721715927e-05,0.0,0.0001,17,16,27,23,18,16,11,0,0,0,0,0,0.2109375,1,0.03,1.107938672362252e-05,0.0014181615006236825
3200,3200,12800,0.0017049014568328857,40.29131317138672,1.94480299949646,9.758584201335907e-05,0.0,0.0001,15,18,14,23,19,25,14,0,0,0,0,0,0.1953125,1,0.03,1.1124830699316135e-05,0.0014239783295124653
3328,3328,13312,-0.0026894807815551758,52.809818267822266,1.9430327415466309,0.00022730324417352676,0.0,0.0001,17,22,18,19,17,19,16,0,0,0,0,0,0.171875,1,0.03,1.0850461400480071e-05,0.0013888590592614491
3456,3456,13824,-0.006936442106962204,75.0443115234375,1.938097357749939,0.0007699988782405853,0.0,0.0001,15,16,19,25,21,19,13,0,0,0,0,0,0.1953125,1,0.03,1.0790798391724366e-05,0.0013812221941407188
3584,3584,14336,0.008410878479480743,41.41820526123047,1.9248842000961304,0.001838534139096737,0.0234375,0.0001,14,32,14,17,17,19,15,0,0,0,0,0,0.25,1,0.03,1.0713549876584239e-05,0.0013713343842027825
3712,3712,14848,0.0003568306565284729,13.025247573852539,1.9070558547973633,0.0017389068379998207,0.05078125,0.0001,16,24,23,17,23,13,12,0,0,0,0,0,0.1875,1,0.03,1.0639189433447882e-05,0.001361816247481329
3840,3840,15360,-0.0014981329441070557,15.722369194030762,1.90603506565094,0.00013347715139389038,0.0,0.0001,17,22,25,11,24,18,11,0,0,0,0,0,0.1953125,1,0.03,1.044992623633334e-05,0.0013375905582506675
3968,3968,15872,-0.0061490461230278015,43.68198776245117,1.8896441459655762,0.0013592084869742393,0.0,0.0001,16,19,28,17,28,11,9,0,0,0,0,0,0.21875,1,0.03,1.0363895142972979e-05,0.0013265785783005413
4096,4096,16384,0.009042296558618546,29.14992904663086,1.8606008291244507,0.0019521648064255714,0.03515625,0.0001,18,21,30,16,25,12,6,0,0,0,0,0,0.234375,1,0.03,1.0214492498050731e-05,0.0013074550397504936
4224,4224,16896,0.014309385791420937,19.845500946044922,1.8131654262542725,0.00522014033049345,0.1328125,0.0001,17,30,27,17,24,8,5,0,0,0,0,0,0.234375,1,0.03,1.0349148212185355e-05,0.0013246909711597254
4352,4352,17408,-0.005669265985488892,29.18863296508789,1.7892014980316162,0.003741225227713585,0.06640625,0.0001,15,29,34,9,25,12,4,0,0,0,0,0,0.265625,1,0.03,1.0232289625378144e-05,0.0013097330720484024
4480,4480,17920,0.02343931794166565,23.61578369140625,1.7642592191696167,0.007671842351555824,0.18359375,0.0001,15,24,48,17,13,8,3,0,0,0,0,0,0.375,1,0.03,1.0023623239874269e-05,0.0012830237747039064
4608,4608,18432,0.0007667168974876404,22.536603927612305,1.7631468772888184,0.002112390473484993,0.0,0.0001,17,28,37,14,17,5,10,0,0,0,0,0,0.2890625,1,0.03,9.991834382105935e-06,0.0012789548009095597
4736,4736,18944,0.009865261614322662,11.08459758758545,1.790850043296814,0.001326030120253563,0.01171875,0.0001,19,19,44,18,16,6,6,0,0,0,0,0,0.34375,1,0.03,1.0079109650007467e-05,0.0012901260352009558
4864,4864,19456,0.006499394774436951,6.101202011108398,1.8299202919006348,0.0016321828588843346,0.03515625,0.0001,19,19,35,18,21,9,7,0,0,0,0,0,0.2734375,1,0.03,1.0276368598738372e-05,0.0013153751806385117
4992,4992,19968,0.001551799476146698,49.01179885864258,1.851656436920166,0.000575970858335495,0.0,0.0001,12,17,38,21,16,11,13,0,0,0,0,0,0.296875,1,0.03,9.853701961048955e-06,0.0012612738510142663
5120,5120,20480,0.0011782050132751465,38.44468688964844,1.8458573818206787,0.00016640033572912216,0.0,0.0001,15,16,35,18,15,17,12,0,0,0,0,0,0.2734375,1,0.03,9.878675570007545e-06,0.0012644704729609657
5248,5248,20992,8.195638656616211e-07,17.487499237060547,1.8443747758865356,5.949661135673523e-05,0.0,0.0001,17,15,44,23,11,11,7,0,0,0,0,0,0.34375,1,0.03,9.715997329351467e-06,0.0012436476581569877
5376,5376,21504,0.0011290088295936584,9.11883544921875,1.861574649810791,0.0004482632502913475,0.0,0.0001,25,22,34,12,18,12,5,0,0,0,0,0,0.265625,1,0.03,9.47814520202428e-06,0.0012132025858591078
5504,5504,22016,-0.001981813460588455,12.07740592956543,1.8785271644592285,0.0012748325243592262,0.0234375,0.0001,16,19,36,20,13,13,11,0,0,0,0,0,0.28125,1,0.03,9.493884746802905e-06,0.0012152172475907719
5632,5632,22528,-0.013009916990995407,9.707643508911133,1.8849360942840576,0.0011108387261629105,0.0,0.0001,15,19,43,25,8,10,8,0,0,0,0,0,0.3359375,1,0.03,9.666948436404255e-06,0.0012373693998597446
5760,5760,23040,-0.008040141314268112,9.747598648071289,1.8995814323425293,0.0010938141494989395,0.0,0.0001,18,20,31,19,15,10,15,0,0,0,0,0,0.2421875,1,0.03,9.916196994197435e-06,0.0012692732152572717
5888,5888,23552,0.009155791252851486,58.651771545410156,1.9063081741333008,0.0013767937198281288,0.0,0.0001,22,17,29,20,21,13,6,0,0,0,0,0,0.2265625,1,0.03,9.587569579139199e-06,0.0012272089061298175
6016,6016,24064,-0.0068900734186172485,23.504722595214844,1.9034608602523804,0.0011361641809344292,0.0,0.0001,17,24,24,21,15,18,9,0,0,0,0,0,0.1875,1,0.03,9.38688804552612e-06,0.0012015216698273434
6144,6144,24576,0.0025642961263656616,73.78134155273438,1.8938969373703003,0.0012038666754961014,0.02734375,0.0001,17,26,30,14,20,14,7,0,0,0,0,0,0.234375,1,0.03,9.559445111051446e-06,0.001223608974214585
6272,6272,25088,-0.005368679761886597,10.440874099731445,1.8835184574127197,0.0008015651255846024,0.0,0.0001,19,22,26,16,21,15,9,0,0,0,0,0,0.203125,1,0.03,9.385547407703143e-06,0.0012013500681860023
6400,6400,25600,-0.0005235224962234497,8.509991645812988,1.8844218254089355,0.0002201572060585022,0.0,0.0001,17,19,26,17,18,22,9,0,0,0,0,0,0.203125,1,0.03,9.335461363946251e-06,0.0011949390545851202
6528,6528,26112,-0.0006332471966743469,9.602008819580078,1.8920079469680786,0.00026940274983644485,0.0,0.0001,25,21,20,9,18,27,8,0,0,0,0,0,0.2109375,1,0.03,9.309311700178569e-06,0.0011915918976228568
6656,6656,26624,0.0032813847064971924,48.65772247314453,1.8919726610183716,9.595602750778198e-05,0.0,0.0001,15,21,24,11,19,28,10,0,0,0,0,0,0.21875,1,0.03,9.474982945789634e-06,0.0012127978170610731
6784,6784,27136,-0.0013226866722106934,11.98064136505127,1.8865277767181396,0.0003861207515001297,0.0,0.0001,15,25,22,12,24,22,8,0,0,0,0,0,0.1953125,1,0.03,9.295840783352105e-06,0.0011898676202690694
6912,6912,27648,0.0010501742362976074,13.3017578125,1.885411262512207,0.0003482922911643982,0.0,0.0001,14,15,26,16,21,24,12,0,0,0,0,0,0.203125,1,0.03,9.475794328750453e-06,0.001212901674080058
7040,7040,28160,0.0021066442131996155,5.258056640625,1.8946257829666138,0.00040763523429632187,0.0,0.0001,21,22,21,8,14,29,13,0,0,0,0,0,0.2265625,1,0.03,9.664700179712327e-06,0.0012370816230031778
7168,7168,28672,0.004293337464332581,6.853864669799805,1.9078667163848877,0.0008117826655507088,0.01953125,0.0001,20,22,16,16,14,31,9,0,0,0,0,0,0.2421875,1,0.03,9.62015691641227e-06,0.0012313800853007706
7296,7296,29184,0.0036687850952148438,4.0304694175720215,1.9203168153762817,0.0010136011987924576,0.02734375,0.0001,22,16,21,17,21,19,12,0,0,0,0,0,0.171875,1,0.03,9.635101399396717e-06,0.0012332929791227798
7424,7424,29696,-0.003877967596054077,72.20655059814453,1.9266204833984375,0.00023698527365922928,0.0,0.0001,22,21,13,17,22,23,10,0,0,0,0,0,0.1796875,1,0.03,9.284858549563069e-06,0.0011884618943440728
7552,7552,30208,-0.0019058473408222198,9.677504539489746,1.9278669357299805,9.688083082437515e-05,0.0,0.0001,23,16,14,16,18,31,10,0,0,0,0,0,0.2421875,1,0.03,9.319046100131345e-06,0.0011928379008168122
7680,7680,30720,-0.0012360531836748123,4.1056976318359375,1.9312268495559692,0.0001903083175420761,0.0,0.0001,15,19,19,20,18,26,11,0,0,0,0,0,0.203125,1,0.03,8.98237075830366e-06,0.0011497434570628684
7808,7808,31232,4.3530017137527466e-05,16.52406120300293,1.933085560798645,6.410293281078339e-05,0.0,0.0001,18,14,26,19,23,16,12,0,0,0,0,0,0.203125,1,0.03,8.920275568868874e-06,0.0011417952728152159
7936,7936,31744,-0.0017253793776035309,5.2805304527282715,1.9334663152694702,2.9656104743480682e-05,0.0,0.0001,22,16,22,17,19,24,8,0,0,0,0,0,0.1875,1,0.03,9.132496948893731e-06,0.0011689596094583976
8064,8064,32256,-0.0004489123821258545,87.19746398925781,1.9338245391845703,9.953975677490234e-06,0.0,0.0001,20,13,24,16,22,26,7,0,0,0,0,0,0.203125,1,0.03,9.08769509777585e-06,0.0011632249725153088
8192,8192,32768,-0.0002826489508152008,56.765010833740234,1.9311693906784058,0.00013146363198757172,0.0,0.0001,13,18,20,15,18,26,18,0,0,0,0,0,0.203125,1,0.03,8.795878422063197e-06,0.0011258724380240892
8320,8320,33280,-0.005095526576042175,54.91843795776367,1.9248747825622559,0.0004935562610626221,0.0,0.0001,17,17,19,16,21,24,14,0,0,0,0,0,0.1875,1,0.03,9.029218212219803e-06,0.0011557399311641348
8448,8448,33792,0.002610195428133011,4.545053482055664,1.9191367626190186,0.00021338555961847305,0.0,0.0001,16,18,18,20,18,23,15,0,0,0,0,0,0.1796875,1,0.03,8.99232365725311e-06,0.001151017428128398
8576,8576,34304,-0.00019149482250213623,52.236236572265625,1.9150100946426392,0.0001226291060447693,0.0,0.0001,20,18,18,15,18,26,13,0,0,0,0,0,0.203125,1,0.03,8.89584948282618e-06,0.001138668733801751
8704,8704,34816,-0.0020946264266967773,62.26348114013672,1.9044744968414307,0.0004492932930588722,0.0,0.0001,19,21,18,11,27,26,6,0,0,0,0,0,0.2109375,1,0.03,8.728693856596692e-06,0.0011172728136443766
8832,8832,35328,0.0018589664250612259,18.229049682617188,1.8965917825698853,0.00021170452237129211,0.0,0.0001,19,20,21,15,12,27,14,0,0,0,0,0,0.2109375,1,0.03,8.665557928111411e-06,0.0011091914147982607
8960,8960,35840,-0.0008132718503475189,16.990894317626953,1.89265775680542,5.863700062036514e-05,0.0,0.0001,19,16,13,12,26,35,7,0,0,0,0,0,0.2734375,1,0.03,8.587664005688112e-06,0.0010992209927280783
9088,9088,36352,-0.00019352883100509644,7.4573540687561035,1.887125849723816,2.838578075170517e-05,0.0,0.0001,14,17,15,22,22,31,7,0,0,0,0,0,0.2421875,1,0.03,8.649679088534867e-06,0.001107158923332463
9216,9216,36864,-0.0001627504825592041,7.462897300720215,1.8946585655212402,0.000162382610142231,0.0,0.0001,13,21,21,17,21,26,9,0,0,0,0,0,0.203125,1,0.03,8.519748625701595e-06,0.0010905278240898042
9344,9344,37376,0.0006377734243869781,65.49507904052734,1.8994947671890259,5.391612648963928e-05,0.0,0.0001,17,15,23,12,21,33,7,0,0,0,0,0,0.2578125,1,0.03,8.498994446881625e-06,0.001087871289200848
9472,9472,37888,-0.0007433630526065826,60.950843811035156,1.8941476345062256,0.00011370237916707993,0.0,0.0001,16,20,25,12,26,23,6,0,0,0,0,0,0.203125,1,0.03,8.452131943670338e-06,0.0010818728887898033
9600,9600,38400,0.0068192258477211,66.88096618652344,1.8799047470092773,0.0006817979738116264,0.015625,0.0001,15,8,21,14,29,33,8,0,0,0,0,0,0.2578125,1,0.03,8.474425300164512e-06,0.0010847264384210575
9728,9728,38912,-0.00879519060254097,47.22241973876953,1.8563034534454346,0.0013888143002986908,0.01953125,0.0001,17,13,19,15,25,34,5,0,0,0,0,0,0.265625,1,0.03,8.345015459099159e-06,0.0010681619787646923
9856,9856,39424,-0.003519907593727112,47.70777893066406,1.8192726373672485,0.0026672296226024628,0.01953125,0.0001,11,15,16,14,18,49,5,0,0,0,0,0,0.3828125,1,0.03,8.300076647316246e-06,0.0010624098108564795
9984,9984,39936,0.009485948830842972,14.989296913146973,1.790012240409851,0.0010479232296347618,0.015625,0.0001,18,17,18,15,20,36,4,0,0,0,0,0,0.28125,1,0.03,7.990189491380306e-06,0.0010227442548966792
10000,10000,40000,-0.003184620290994644,0.8693806529045105,1.7861247062683105,2.5618821382522583e-05,0.0,0.0001,1,1,3,0,4,6,1,0,0,0,0,0,0.375,1,0.03,7.779174467259509e-06,0.00012446679147615214
