global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
114,114,456,0,114,456,584.0,0.0,584.0,663,663,396.719298245614,14,0,10000,3000,4
149,149,596,1,35,140,250.0,0.0,250.0,314,314,146.88571428571427,7,0,10000,3000,4
661,661,2644,2,512,2048,1246.0,0.0,1246.0,1404,1404,792.455078125,29,0,10000,3000,4
924,924,3696,3,263,1052,592.0,0.0,592.0,700,700,446.12927756653994,15,0,10000,3000,4
1460,1460,5840,4,536,2144,676.0,0.0,676.0,841,841,573.1623134328358,17,0,10000,3000,4
1634,1634,6536,5,174,696,617.0,0.0,617.0,708,708,423.02298850574715,15,0,10000,3000,4
1726,1726,6904,6,92,368,627.0,0.0,627.0,702,702,342.0217391304348,15,0,10000,3000,4
2703,2703,10812,7,977,3908,1184.0,0.0,1184.0,1437,1437,753.5015353121802,29,0,10000,3000,4
3706,3706,14824,8,1003,4012,866.0,0.0,866.0,1122,1123,719.2293120638086,23,0,10000,3000,4
3831,3831,15324,9,125,500,1051.0,0.0,1051.0,1131,1131,600.624,23,0,10000,3000,4
4211,4211,16844,10,380,1520,995.0,0.0,995.0,1126,1126,736.6447368421053,23,0,10000,3000,4
4999,4999,19996,11,788,3152,923.0,0.0,923.0,1137,1137,700.8972081218274,23,0,10000,3000,4
5048,5048,20192,12,49,196,229.0,0.0,229.0,295,295,144.89795918367346,6,0,10000,3000,4
5202,5202,20808,13,154,616,637.0,0.0,637.0,722,722,461.6623376623377,15,0,10000,3000,4
5511,5511,22044,14,309,1236,1524.0,0.0,1524.0,1642,1642,760.6472491909385,33,0,10000,3000,4
5653,5653,22612,15,142,568,618.0,0.0,618.0,704,704,289.34507042253523,15,0,10000,3000,4
5738,5738,22952,16,85,340,638.0,0.0,638.0,713,713,367.2,15,0,10000,3000,4
5893,5893,23572,17,155,620,636.0,0.0,636.0,722,722,493.3290322580645,15,0,10000,3000,4
6091,6091,24364,18,198,792,1342.0,0.0,1342.0,1439,1439,685.7020202020202,29,0,10000,3000,4
6265,6265,25060,19,174,696,1038.0,0.0,1038.0,1128,1128,642.4137931034483,23,0,10000,3000,4
6433,6433,25732,20,168,672,1040.0,0.0,1040.0,1129,1129,649.547619047619,23,0,10000,3000,4
6762,6762,27048,21,329,1316,1004.0,0.0,1004.0,1125,1125,679.9422492401216,23,0,10000,3000,4
6831,6831,27324,22,69,276,607.0,0.0,607.0,678,678,327.8550724637681,14,0,10000,3000,4
7056,7056,28224,23,225,900,1691.0,0.0,1691.0,1792,1792,869.2844444444445,36,0,10000,3000,4
7091,7091,28364,24,35,140,245.0,0.0,245.0,310,310,138.82857142857142,7,0,10000,3000,4
7128,7128,28512,25,37,148,244.0,0.0,244.0,309,309,142.43243243243242,7,0,10000,3000,4
7212,7212,28848,26,84,336,632.0,0.0,632.0,706,706,363.0238095238095,15,0,10000,3000,4
7416,7416,29664,27,204,816,1034.0,0.0,1034.0,1130,1130,671.2009803921569,23,0,10000,3000,4
7612,7612,30448,28,196,784,1139.0,0.0,1139.0,1236,1236,641.1326530612245,25,0,10000,3000,4
7686,7686,30744,29,74,296,614.0,0.0,614.0,685,685,336.36486486486484,14,0,10000,3000,4
7779,7779,31116,30,93,372,626.0,0.0,626.0,702,702,371.4301075268817,15,0,10000,3000,4
7809,7809,31236,31,30,120,249.0,0.0,249.0,312,312,154.16666666666666,7,0,10000,3000,4
8085,8085,32340,32,276,1104,788.0,0.0,788.0,898,898,610.0507246376811,18,0,10000,3000,4
8289,8289,33156,33,204,816,1035.0,0.0,1035.0,1132,1132,597.9950980392157,23,0,10000,3000,4
8465,8465,33860,34,176,704,732.0,0.0,732.0,824,824,506.17045454545456,17,0,10000,3000,4
8753,8753,35012,35,288,1152,1409.0,0.0,1409.0,1523,1523,722.2256944444445,31,0,10000,3000,4
8789,8789,35156,36,36,144,233.0,0.0,233.0,297,297,163.94444444444446,6,0,10000,3000,4
8980,8980,35920,37,191,764,1033.0,0.0,1033.0,1127,1127,640.5235602094241,23,0,10000,3000,4
9124,9124,36496,38,144,576,730.0,0.0,730.0,816,816,498.90277777777777,17,0,10000,3000,4
9209,9209,36836,39,85,340,638.0,0.0,638.0,713,713,370.9764705882353,15,0,10000,3000,4
9310,9310,37240,40,101,404,608.0,0.0,608.0,686,686,384.73267326732673,14,0,10000,3000,4
9824,9824,39296,41,514,2056,1637.0,0.0,1637.0,1797,1797,809.704280155642,36,0,10000,3000,4
9996,9996,39984,42,172,688,732.0,0.0,732.0,822,822,573.046511627907,17,0,10000,3000,4
