global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.001704862341284752,51.7421760559082,1.945809245109558,0.00011414382606744766,0.0,0.0001,13,20,21,26,18,18,12,0,0,0,0,0,0.203125,1,0.03,0.0006989580815570662,0.08946663443930447
256,256,1024,-0.0014965608716011047,50.23365783691406,1.9453641176223755,0.00011699087917804718,0.0,0.0001,18,26,20,19,19,14,12,0,0,0,0,0,0.203125,1,0.03,0.0001787111697240107,0.022875029724673368
384,384,1536,-3.497302532196045e-05,33.339988708496094,1.9439011812210083,0.000314563512802124,0.0,0.0001,20,23,16,15,21,17,16,0,0,0,0,0,0.1796875,1,0.03,6.234305379848593e-05,0.007979910886206198
512,512,2048,-0.0013767853379249573,14.360380172729492,1.9414269924163818,0.0005324259400367737,0.0,0.0001,19,15,21,20,19,21,13,0,0,0,0,0,0.1640625,1,0.03,3.0422837141941272e-05,0.003894123154168483
640,640,2560,0.0066329920664429665,34.06060791015625,1.9383560419082642,0.0004256144165992737,0.0,0.0001,25,15,22,16,13,20,17,0,0,0,0,0,0.1953125,1,0.03,1.7951731152265893e-05,0.0022978215874900343
768,768,3072,0.003942146897315979,27.84419822692871,1.933266520500183,0.0005103154107928276,0.0,0.0001,28,13,15,16,21,20,15,0,0,0,0,0,0.21875,1,0.03,1.3735361306999039e-05,0.001758126247295877
896,896,3584,0.0005233678966760635,18.222972869873047,1.9280297756195068,0.0002849539741873741,0.0,0.0001,34,21,11,18,7,14,23,0,0,0,0,0,0.265625,1,0.03,1.1095499104385453e-05,0.001420223885361338
1024,1024,4096,0.002078259363770485,26.03242301940918,1.9253135919570923,0.0002979207783937454,0.0,0.0001,26,16,18,8,19,16,25,0,0,0,0,0,0.203125,1,0.03,1.1084684423678937e-05,0.0014188396062309039
1152,1152,4608,-0.00387666467577219,19.093711853027344,1.9209904670715332,0.0005190679803490639,0.0,0.0001,25,20,22,12,21,13,15,0,0,0,0,0,0.1953125,1,0.03,1.3383515195641849e-05,0.0017130899450421566
1280,1280,5120,-0.0115680992603302,8.344610214233398,1.931992530822754,0.0024815937504172325,0.0625,0.0001,27,18,20,19,14,13,17,0,0,0,0,0,0.2109375,1,0.03,1.4503109056818175e-05,0.0018563979592727264
1408,1408,5632,-0.010792985558509827,6.509493827819824,1.9301029443740845,0.0013330737128853798,0.0,0.0001,26,18,24,21,12,15,12,0,0,0,0,0,0.203125,1,0.03,1.2175666135760821e-05,0.001558485265377385
1536,1536,6144,-0.0043890224769711494,54.8043327331543,1.9257409572601318,0.0005771229043602943,0.0,0.0001,23,14,27,20,14,11,19,0,0,0,0,0,0.2109375,1,0.03,1.0983935126773758e-05,0.001405943696227041
1664,1664,6656,-0.0026398375630378723,19.65134620666504,1.9120943546295166,0.0010988414287567139,0.0,0.0001,25,12,21,25,18,14,13,0,0,0,0,0,0.1953125,1,0.03,1.0325628601037806e-05,0.0013216804609328392
1792,1792,7168,0.006330149248242378,39.52671813964844,1.8821911811828613,0.003565414808690548,0.1015625,0.0001,21,12,30,27,12,16,10,0,0,0,0,0,0.234375,1,0.03,9.18676064287638e-06,0.0011759053622881765
