global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
197,197,788,0,197,788,569.0,0.0,569.0,665,665,437.6345177664975,14,0,10000,3000,4
332,332,1328,1,135,540,586.0,0.0,586.0,670,670,317.6740740740741,14,0,10000,3000,4
482,482,1928,2,150,600,638.0,0.0,638.0,722,723,459.52666666666664,15,0,10000,3000,4
742,742,2968,3,260,1040,791.0,0.0,791.0,898,898,539.1038461538461,18,0,10000,3000,4
2574,2574,10296,4,1832,7328,714.0,0.0,714.0,1137,1137,825.8231441048035,23,0,10000,3000,4
2606,2606,10424,5,32,128,244.0,0.0,244.0,306,306,161.0625,7,0,10000,3000,4
2645,2645,10580,6,39,156,238.0,0.0,238.0,303,303,153.89743589743588,7,0,10000,3000,4
2706,2706,10824,7,61,244,199.0,0.0,199.0,268,268,159.4262295081967,6,0,10000,3000,4
2864,2864,11456,8,158,632,795.0,0.0,795.0,883,883,495.8481012658228,18,0,10000,3000,4
3241,3241,12964,9,377,1508,671.0,0.0,671.0,803,803,593.761273209549,17,0,10000,3000,4
3675,3675,14700,10,434,1736,1009.0,0.0,1009.0,1153,1153,731.9723502304147,24,0,10000,3000,4
3898,3898,15592,11,223,892,1330.0,0.0,1330.0,1432,1432,641.4843049327354,29,0,10000,3000,4
3949,3949,15796,12,51,204,209.0,0.0,209.0,276,276,164.86274509803923,6,0,10000,3000,4
4734,4734,18936,13,785,3140,1193.0,0.0,1193.0,1407,1407,833.3299363057325,29,0,10000,3000,4
4886,4886,19544,14,152,608,637.0,0.0,637.0,722,722,511.82236842105266,15,0,10000,3000,4
5489,5489,21956,15,603,2412,955.0,0.0,955.0,1132,1132,745.5107794361526,23,0,10000,3000,4
5832,5832,23328,16,343,1372,775.0,0.0,775.0,898,899,676.8542274052478,18,0,10000,3000,4
5905,5905,23620,17,73,292,628.0,0.0,628.0,699,699,361.958904109589,14,0,10000,3000,4
6020,6020,24080,18,115,460,593.0,0.0,593.0,672,672,375.4260869565217,14,0,10000,3000,4
6056,6056,24224,19,36,144,241.0,0.0,241.0,305,305,156.25,7,0,10000,3000,4
6104,6104,24416,20,48,192,220.0,0.0,220.0,286,286,158.39583333333334,6,0,10000,3000,4
6269,6269,25076,21,165,660,635.0,0.0,635.0,722,722,488.0121212121212,15,0,10000,3000,4
6414,6414,25656,22,145,580,639.0,0.0,639.0,722,723,497.00689655172414,15,0,10000,3000,4
6456,6456,25824,23,42,168,234.0,0.0,234.0,300,300,154.28571428571428,7,0,10000,3000,4
7128,7128,28512,24,672,2688,1587.0,0.0,1587.0,1778,1778,856.7738095238095,36,0,10000,3000,4
7209,7209,28836,25,81,324,608.0,0.0,608.0,682,682,315.6666666666667,14,0,10000,3000,4
7241,7241,28964,26,32,128,251.0,0.0,251.0,314,314,153.34375,7,0,10000,3000,4
7275,7275,29100,27,34,136,238.0,0.0,238.0,302,302,162.11764705882354,7,0,10000,3000,4
7370,7370,29480,28,95,380,630.0,0.0,630.0,705,705,354.9789473684211,15,0,10000,3000,4
7520,7520,30080,29,150,600,781.0,0.0,781.0,867,867,537.7866666666666,18,0,10000,3000,4
7553,7553,30212,30,33,132,246.0,0.0,246.0,309,309,159.42424242424244,7,0,10000,3000,4
7747,7747,30988,31,194,776,1053.0,0.0,1053.0,1149,1149,623.7783505154639,23,0,10000,3000,4
7893,7893,31572,32,146,584,724.0,0.0,724.0,810,810,494.17808219178085,17,0,10000,3000,4
8050,8050,32200,33,157,628,769.0,0.0,769.0,858,858,542.4394904458599,18,0,10000,3000,4
8089,8089,32356,34,39,156,235.0,0.0,235.0,300,300,157.92307692307693,7,0,10000,3000,4
8124,8124,32496,35,35,140,236.0,0.0,236.0,300,300,163.65714285714284,7,0,10000,3000,4
8211,8211,32844,36,87,348,628.0,0.0,628.0,702,702,376.0689655172414,15,0,10000,3000,4
8416,8416,33664,37,205,820,1054.0,0.0,1054.0,1152,1152,676.0487804878048,24,0,10000,3000,4
8655,8655,34620,38,239,956,1024.0,0.0,1024.0,1127,1127,684.2677824267782,23,0,10000,3000,4
8805,8805,35220,39,150,600,813.0,0.0,813.0,898,898,587.2,18,0,10000,3000,4
8838,8838,35352,40,33,132,244.0,0.0,244.0,308,308,165.54545454545453,7,0,10000,3000,4
9028,9028,36112,41,190,760,1342.0,0.0,1342.0,1438,1438,708.9052631578948,29,0,10000,3000,4
9224,9224,36896,42,196,784,1323.0,0.0,1323.0,1417,1417,689.2551020408164,29,0,10000,3000,4
9315,9315,37260,43,91,364,623.0,0.0,623.0,699,699,367.5054945054945,14,0,10000,3000,4
9348,9348,37392,44,33,132,244.0,0.0,244.0,307,307,164.5151515151515,7,0,10000,3000,4
9491,9491,37964,45,143,572,639.0,0.0,639.0,722,722,488.86713286713285,15,0,10000,3000,4
9637,9637,38548,46,146,584,1332.0,0.0,1332.0,1417,1417,670.5753424657535,29,0,10000,3000,4
9666,9666,38664,47,29,116,248.0,0.0,248.0,311,311,157.13793103448276,7,0,10000,3000,4
9699,9699,38796,48,33,132,242.0,0.0,242.0,306,306,162.9090909090909,7,0,10000,3000,4
9911,9911,39644,49,212,848,1335.0,0.0,1335.0,1435,1435,741.0188679245283,29,0,10000,3000,4
9988,9988,39952,50,77,308,622.0,0.0,622.0,695,695,357.84415584415586,14,0,10000,3000,4
