global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.0068089962005615234,60.2137451171875,1.9457404613494873,0.00017981696873903275,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.0007037480772851268,0.09007975389249623
256,256,1024,-0.003574661910533905,22.454023361206055,1.9446061849594116,0.00038754288107156754,0.0,0.0001,18,19,14,22,12,21,22,0,0,0,0,0,0.171875,1,0.03,0.000193731648892026,0.024797651058179326
384,384,1536,-0.011395856738090515,60.44226837158203,1.9401323795318604,0.0012453896924853325,0.0,0.0001,20,18,18,18,20,19,15,0,0,0,0,0,0.15625,1,0.03,7.018426603622174e-05,0.008983586052636383
512,512,2048,-0.00023249536752700806,14.926955223083496,1.9247996807098389,0.0031597893685102463,0.06640625,0.0001,26,17,9,16,28,16,16,0,0,0,0,0,0.21875,1,0.03,3.428872454946941e-05,0.004388956742332084
640,640,2560,0.004841327667236328,6.031755447387695,1.8935493230819702,0.00400837417691946,0.078125,0.0001,18,18,18,12,17,26,19,0,0,0,0,0,0.203125,1,0.03,2.3463660681954934e-05,0.0030033485672902316
768,768,3072,0.01025330275297165,12.450531959533691,1.8595521450042725,0.0027824677526950836,0.1015625,0.0001,12,12,28,20,11,33,12,0,0,0,0,0,0.2578125,1,0.03,1.7197529267320988e-05,0.0022012837462170864
896,896,3584,-0.008360341191291809,20.646120071411133,1.8480639457702637,0.002423977479338646,0.04296875,0.0001,6,14,18,30,17,31,12,0,0,0,0,0,0.2421875,1,0.03,1.3926874515846066e-05,0.0017826399380282965
1024,1024,4096,0.0010163895785808563,18.750282287597656,1.8528358936309814,0.0009265867993235588,0.0,0.0001,14,12,24,21,16,31,10,0,0,0,0,0,0.2421875,1,0.03,1.2752070787769298e-05,0.0016322650608344702
1152,1152,4608,0.011058703064918518,8.856073379516602,1.873802661895752,0.0011563263833522797,0.0,0.0001,11,7,15,31,18,26,20,0,0,0,0,0,0.2421875,1,0.03,1.4560057692847295e-05,0.0018636873846844537
1280,1280,5120,0.0046372190117836,4.162738800048828,1.8933765888214111,0.0009719599038362503,0.0,0.0001,16,9,22,28,24,17,12,0,0,0,0,0,0.21875,1,0.03,1.543511521617802e-05,0.0019756947476707865
