global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
162,162,648,0,162,648,635.0,0.0,635.0,722,723,469.77777777777777,15,0,1000000,3000,4
931,931,3724,1,769,3076,687.0,0.0,687.0,895,898,664.3784135240572,18,0,1000000,3000,4
1048,1048,4192,2,117,468,608.0,0.0,608.0,688,688,373.3931623931624,14,0,1000000,3000,4
1183,1183,4732,3,135,540,611.0,0.0,611.0,695,695,308.9555555555556,14,0,1000000,3000,4
1231,1231,4924,4,48,192,217.0,0.0,217.0,282,282,166.39583333333334,6,0,1000000,3000,4
2188,2188,8752,5,957,3828,572.0,0.0,572.0,820,820,654.2267502612331,17,0,1000000,3000,4
2353,2353,9412,6,165,660,587.0,0.0,587.0,676,676,334.3939393939394,14,0,1000000,3000,4
2397,2397,9588,7,44,176,224.0,0.0,224.0,289,289,163.4318181818182,6,0,1000000,3000,4
3024,3024,12096,8,627,2508,955.0,0.0,955.0,1136,1136,754.1068580542264,23,0,1000000,3000,4
3080,3080,12320,9,56,224,217.0,0.0,217.0,285,285,143.76785714285714,6,0,1000000,3000,4
3141,3141,12564,10,61,244,232.0,0.0,232.0,300,300,122.68852459016394,7,0,1000000,3000,4
3235,3235,12940,11,94,376,602.0,0.0,602.0,677,677,283.0425531914894,14,0,1000000,3000,4
3436,3436,13744,12,201,804,774.0,0.0,774.0,872,872,478.5124378109453,18,0,1000000,3000,4
3608,3608,14432,13,172,688,605.0,0.0,605.0,697,697,339.2093023255814,14,0,1000000,3000,4
3669,3669,14676,14,61,244,199.0,0.0,199.0,267,267,152.39344262295083,6,0,1000000,3000,4
3907,3907,15628,15,238,952,562.0,0.0,562.0,666,666,458.51680672268907,14,0,1000000,3000,4
4243,4243,16972,16,336,1344,776.0,0.0,776.0,898,899,627.5952380952381,18,0,1000000,3000,4
4358,4358,17432,17,115,460,617.0,0.0,617.0,696,696,371.8782608695652,14,0,1000000,3000,4
4404,4404,17616,18,46,184,227.0,0.0,227.0,293,293,152.91304347826087,6,0,1000000,3000,4
4648,4648,18592,19,244,976,795.0,0.0,795.0,898,899,621.4508196721312,18,0,1000000,3000,4
4900,4900,19600,20,252,1008,617.0,0.0,617.0,722,722,487.1547619047619,15,0,1000000,3000,4
5029,5029,20116,21,129,516,580.0,0.0,580.0,662,662,374.5891472868217,14,0,1000000,3000,4
5189,5189,20756,22,160,640,1049.0,0.0,1049.0,1136,1136,510.09375,23,0,1000000,3000,4
5238,5238,20952,23,49,196,221.0,0.0,221.0,287,287,150.9795918367347,6,0,1000000,3000,4
5476,5476,21904,24,238,952,1021.0,0.0,1021.0,1123,1123,553.1176470588235,23,0,1000000,3000,4
5599,5599,22396,25,123,492,601.0,0.0,601.0,682,682,383.7317073170732,14,0,1000000,3000,4
5641,5641,22564,26,42,168,237.0,0.0,237.0,302,302,154.45238095238096,7,0,1000000,3000,4
5686,5686,22744,27,45,180,226.0,0.0,226.0,290,290,156.0222222222222,6,0,1000000,3000,4
6061,6061,24244,28,375,1500,999.0,0.0,999.0,1128,1128,664.328,23,0,1000000,3000,4
6102,6102,24408,29,41,164,231.0,0.0,231.0,296,296,162.7560975609756,6,0,1000000,3000,4
6150,6150,24600,30,48,192,226.0,0.0,226.0,291,291,154.97916666666666,6,0,1000000,3000,4
6428,6428,25712,31,278,1112,788.0,0.0,788.0,898,898,619.5179856115108,18,0,1000000,3000,4
6542,6542,26168,32,114,456,596.0,0.0,596.0,674,674,385.9561403508772,14,0,1000000,3000,4
6850,6850,27400,33,308,1232,1283.0,0.0,1283.0,1401,1401,636.7077922077922,29,0,1000000,3000,4
6948,6948,27792,34,98,392,614.0,0.0,614.0,690,690,367.0204081632653,14,0,1000000,3000,4
6984,6984,27936,35,36,144,239.0,0.0,239.0,303,303,160.30555555555554,7,0,1000000,3000,4
7059,7059,28236,36,75,300,619.0,0.0,619.0,691,691,352.6666666666667,14,0,1000000,3000,4
7142,7142,28568,37,83,332,640.0,0.0,640.0,714,714,365.13253012048193,15,0,1000000,3000,4
7240,7240,28960,38,98,392,634.0,0.0,634.0,710,710,377.1020408163265,15,0,1000000,3000,4
7424,7424,29696,39,184,736,1044.0,0.0,1044.0,1137,1137,595.0054347826087,23,0,1000000,3000,4
7511,7511,30044,40,87,348,613.0,0.0,613.0,688,688,318.18390804597703,14,0,1000000,3000,4
7675,7675,30700,41,164,656,1332.0,0.0,1332.0,1422,1422,676.2743902439024,29,0,1000000,3000,4
7771,7771,31084,42,96,384,618.0,0.0,618.0,694,694,390.1354166666667,14,0,1000000,3000,4
7810,7810,31240,43,39,156,241.0,0.0,241.0,304,304,157.28205128205127,7,0,1000000,3000,4
7939,7939,31756,44,129,516,734.0,0.0,734.0,816,816,490.94573643410854,17,0,1000000,3000,4
7987,7987,31948,45,48,192,215.0,0.0,215.0,281,281,165.77083333333334,6,0,1000000,3000,4
8140,8140,32560,46,153,612,1043.0,0.0,1043.0,1129,1129,589.0784313725491,23,0,1000000,3000,4
8245,8245,32980,47,105,420,613.0,0.0,613.0,690,690,390.2,14,0,1000000,3000,4
8470,8470,33880,48,225,900,1329.0,0.0,1329.0,1432,1432,711.5644444444445,29,0,1000000,3000,4
8668,8668,34672,49,198,792,1424.0,0.0,1424.0,1521,1521,694.9747474747475,31,0,1000000,3000,4
8740,8740,34960,50,72,288,653.0,0.0,653.0,722,722,379.5,15,0,1000000,3000,4
9076,9076,36304,51,336,1344,1012.0,0.0,1012.0,1136,1136,677.5446428571429,23,0,1000000,3000,4
9191,9191,36764,52,115,460,717.0,0.0,717.0,797,797,489.3478260869565,16,0,1000000,3000,4
9366,9366,37464,53,175,700,740.0,0.0,740.0,831,831,561.9257142857143,17,0,1000000,3000,4
9398,9398,37592,54,32,128,245.0,0.0,245.0,308,308,161.09375,7,0,1000000,3000,4
9591,9591,38364,55,193,772,805.0,0.0,805.0,898,899,581.8756476683938,18,0,1000000,3000,4
9848,9848,39392,56,257,1028,1316.0,0.0,1316.0,1425,1425,730.715953307393,29,0,1000000,3000,4
10030,10030,40120,57,182,728,1331.0,0.0,1331.0,1425,1425,686.2692307692307,29,0,1000000,3000,4
10072,10072,40288,58,42,168,235.0,0.0,235.0,300,300,150.04761904761904,7,0,1000000,3000,4
