global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,episode_flag_get,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
200,200,800,0,200,800,563.0,0.0,563.0,658,658,439.535,0,14,0,1000000,3000,4
382,382,1528,1,182,728,630.0,0.0,630.0,721,723,415.2362637362637,0,15,0,1000000,3000,4
1131,1131,4524,2,749,2996,1205.0,0.0,1205.0,1410,1410,833.1975967957277,0,29,0,1000000,3000,4
1303,1303,5212,3,172,688,808.0,0.0,808.0,897,898,528.1918604651163,0,18,0,1000000,3000,4
1842,1842,7368,4,539,2156,652.0,0.0,652.0,816,816,633.974025974026,0,17,0,1000000,3000,4
2124,2124,8496,5,282,1128,1020.0,0.0,1020.0,1133,1133,618.7659574468086,0,23,0,1000000,3000,4
2995,2995,11980,6,871,3484,1206.0,0.0,1206.0,1438,1438,824.1572904707233,0,29,0,1000000,3000,4
3551,3551,14204,7,556,2224,1343.0,0.0,1343.0,1511,1511,827.818345323741,0,31,0,1000000,3000,4
3770,3770,15080,8,219,876,726.0,0.0,726.0,826,826,521.5753424657535,0,17,0,1000000,3000,4
3885,3885,15540,9,115,460,608.0,0.0,608.0,687,687,376.81739130434784,0,14,0,1000000,3000,4
4132,4132,16528,10,247,988,794.0,0.0,794.0,898,898,637.82995951417,0,18,0,1000000,3000,4
4445,4445,17780,11,313,1252,699.0,0.0,699.0,819,819,578.3162939297125,0,17,0,1000000,3000,4
4590,4590,18360,12,145,580,758.0,0.0,758.0,843,843,525.6827586206897,0,17,0,1000000,3000,4
4684,4684,18736,13,94,376,614.0,0.0,614.0,690,690,334.28723404255317,0,14,0,1000000,3000,4
4890,4890,19560,14,206,824,1424.0,0.0,1424.0,1523,1523,681.8592233009708,0,31,0,1000000,3000,4
4941,4941,19764,15,51,204,212.0,0.0,212.0,280,280,163.0392156862745,0,6,0,1000000,3000,4
5057,5057,20228,16,116,464,590.0,0.0,590.0,670,670,403.25,0,14,0,1000000,3000,4
5100,5100,20400,17,43,172,237.0,0.0,237.0,303,303,146.1627906976744,0,7,0,1000000,3000,4
5347,5347,21388,18,247,988,1326.0,0.0,1326.0,1433,1433,737.17004048583,0,29,0,1000000,3000,4
5390,5390,21560,19,43,172,232.0,0.0,232.0,298,298,145.74418604651163,0,6,0,1000000,3000,4
5798,5798,23192,20,408,1632,2331.0,0.0,2331.0,2468,2468,1124.0367647058824,0,50,0,1000000,3000,4
5841,5841,23364,21,43,172,230.0,0.0,230.0,295,295,157.2325581395349,0,6,0,1000000,3000,4
6050,6050,24200,22,209,836,802.0,0.0,802.0,898,898,566.2822966507177,0,18,0,1000000,3000,4
6436,6436,25744,23,386,1544,1301.0,0.0,1301.0,1436,1436,718.0518134715026,0,29,0,1000000,3000,4
6649,6649,26596,24,213,852,729.0,0.0,729.0,828,828,514.2676056338029,0,17,0,1000000,3000,4
6750,6750,27000,25,101,404,600.0,0.0,600.0,677,677,387.8910891089109,0,14,0,1000000,3000,4
6802,6802,27208,26,52,208,211.0,0.0,211.0,277,277,163.96153846153845,0,6,0,1000000,3000,4
6974,6974,27896,27,172,688,768.0,0.0,768.0,860,860,516.1337209302326,0,18,0,1000000,3000,4
7200,7200,28800,28,226,904,1310.0,0.0,1310.0,1410,1410,665.0176991150443,0,29,0,1000000,3000,4
7256,7256,29024,29,56,224,214.0,0.0,214.0,282,282,147.26785714285714,0,6,0,1000000,3000,4
7306,7306,29224,30,50,200,221.0,0.0,221.0,288,288,138.26,0,6,0,1000000,3000,4
7352,7352,29408,31,46,184,230.0,0.0,230.0,295,295,147.7173913043478,0,6,0,1000000,3000,4
7524,7524,30096,32,172,688,633.0,0.0,633.0,722,722,464.1744186046512,0,15,0,1000000,3000,4
7646,7646,30584,33,122,488,582.0,0.0,582.0,663,663,376.08196721311475,0,14,0,1000000,3000,4
7827,7827,31308,34,181,724,631.0,0.0,631.0,722,722,443.69613259668506,0,15,0,1000000,3000,4
7911,7911,31644,35,84,336,605.0,0.0,605.0,678,678,301.9047619047619,0,14,0,1000000,3000,4
8002,8002,32008,36,91,364,627.0,0.0,627.0,703,703,363.74725274725273,0,15,0,1000000,3000,4
8294,8294,33176,37,292,1168,1320.0,0.0,1320.0,1436,1436,721.1541095890411,0,29,0,1000000,3000,4
8487,8487,33948,38,193,772,805.0,0.0,805.0,898,899,565.8756476683938,0,18,0,1000000,3000,4
8722,8722,34888,39,235,940,1329.0,0.0,1329.0,1433,1433,712.1702127659574,0,29,0,1000000,3000,4
8764,8764,35056,40,42,168,234.0,0.0,234.0,300,300,144.54761904761904,0,7,0,1000000,3000,4
9013,9013,36052,41,249,996,1329.0,0.0,1329.0,1436,1436,727.6827309236947,0,29,0,1000000,3000,4
9057,9057,36228,42,44,176,225.0,0.0,225.0,290,290,159.52272727272728,0,6,0,1000000,3000,4
9093,9093,36372,43,36,144,250.0,0.0,250.0,313,313,144.30555555555554,0,7,0,1000000,3000,4
9683,9683,38732,44,590,2360,1048.0,0.0,1048.0,1221,1221,813.7203389830509,0,25,0,1000000,3000,4
9993,9993,39972,45,310,1240,1315.0,0.0,1315.0,1434,1434,695.0322580645161,0,29,0,1000000,3000,4
10172,10172,40688,46,179,716,632.0,0.0,632.0,722,722,447.72067039106145,0,15,0,1000000,3000,4
10557,10557,42228,47,385,1540,682.0,0.0,682.0,815,815,615.2363636363636,0,17,0,1000000,3000,4
10619,10619,42476,48,62,248,221.0,0.0,221.0,289,289,129.59677419354838,0,6,0,1000000,3000,4
10804,10804,43216,49,185,740,776.0,0.0,776.0,869,869,517.9675675675676,0,18,0,1000000,3000,4
10850,10850,43400,50,46,184,225.0,0.0,225.0,290,290,152.97826086956522,0,6,0,1000000,3000,4
10895,10895,43580,51,45,180,228.0,0.0,228.0,293,293,149.0,0,6,0,1000000,3000,4
10946,10946,43784,52,51,204,225.0,0.0,225.0,292,292,143.7450980392157,0,6,0,1000000,3000,4
11206,11206,44824,53,260,1040,1305.0,0.0,1305.0,1411,1411,697.276923076923,0,29,0,1000000,3000,4
11400,11400,45600,54,194,776,629.0,0.0,629.0,722,722,439.36082474226805,0,15,0,1000000,3000,4
11826,11826,47304,55,426,1704,998.0,0.0,998.0,1140,1140,704.2089201877934,0,23,0,1000000,3000,4
11932,11932,47728,56,106,424,619.0,0.0,619.0,698,698,367.97169811320754,0,14,0,1000000,3000,4
11979,11979,47916,57,47,188,231.0,0.0,231.0,297,297,145.53191489361703,0,6,0,1000000,3000,4
12138,12138,48552,58,159,636,636.0,0.0,636.0,722,722,493.55974842767296,0,15,0,1000000,3000,4
12182,12182,48728,59,44,176,229.0,0.0,229.0,294,294,161.52272727272728,0,6,0,1000000,3000,4
12544,12544,50176,60,362,1448,667.0,0.0,667.0,796,796,604.5027624309392,0,16,0,1000000,3000,4
12766,12766,51064,61,222,888,690.0,0.0,690.0,791,791,554.2882882882883,0,16,0,1000000,3000,4
12879,12879,51516,62,113,452,625.0,0.0,625.0,704,704,347.8141592920354,0,15,0,1000000,3000,4
12917,12917,51668,63,38,152,234.0,0.0,234.0,298,298,159.71052631578948,0,6,0,1000000,3000,4
13237,13237,52948,64,320,1280,1283.0,0.0,1283.0,1403,1403,722.2,0,29,0,1000000,3000,4
