global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.0068092308938503265,60.20832061767578,1.9457404613494873,0.0001798206940293312,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.0,0.0
256,256,1024,-0.0016313046216964722,20.98841094970703,1.9446425437927246,0.00035825371742248535,0.0,0.0001,18,20,13,23,9,21,24,0,0,0,0,0,0.1875,1,0.03,0.0,0.0
384,384,1536,-0.0003370344638824463,20.259586334228516,1.9413197040557861,0.0007405979558825493,0.0,0.0001,17,18,17,18,24,19,15,0,0,0,0,0,0.1875,1,0.03,0.0,0.0
512,512,2048,-0.009764622896909714,44.32484436035156,1.931401014328003,0.0018435325473546982,0.0,0.0001,27,15,14,16,26,15,15,0,0,0,0,0,0.2109375,1,0.03,0.0,0.0
640,640,2560,-0.01153448224067688,22.318161010742188,1.9163264036178589,0.001923074945807457,0.0390625,0.0001,20,21,19,10,22,21,15,0,0,0,0,0,0.171875,1,0.03,0.0,0.0
768,768,3072,-0.008226141333580017,13.962810516357422,1.9131169319152832,0.0004636906087398529,0.0,0.0001,16,13,31,17,12,28,11,0,0,0,0,0,0.2421875,1,0.03,0.0,0.0
896,896,3584,0.00573809165507555,7.061506271362305,1.9220771789550781,0.000734829343855381,0.0,0.0001,8,17,21,24,23,25,10,0,0,0,0,0,0.1953125,1,0.03,0.0,0.0
1024,1024,4096,-0.0019857976585626602,3.669588565826416,1.9302515983581543,0.0007376223802566528,0.0,0.0001,22,17,22,14,17,25,11,0,0,0,0,0,0.1953125,1,0.03,0.0,0.0
1152,1152,4608,-0.0025912076234817505,68.27375793457031,1.9327993392944336,0.0002478109672665596,0.0,0.0001,19,12,20,15,16,27,19,0,0,0,0,0,0.2109375,1,0.03,0.0,0.0
1280,1280,5120,-0.007064253091812134,63.52497482299805,1.9298419952392578,0.0002712393179535866,0.0,0.0001,28,13,23,11,19,19,15,0,0,0,0,0,0.21875,1,0.03,0.0,0.0
1408,1408,5632,-0.005268417298793793,51.39015579223633,1.9204119443893433,0.0007756249979138374,0.0,0.0001,18,27,14,11,23,21,14,0,0,0,0,0,0.2109375,1,0.03,0.0,0.0
1536,1536,6144,-0.010136626660823822,11.728940963745117,1.9063869714736938,0.002142437733709812,0.0234375,0.0001,22,13,23,23,13,16,18,0,0,0,0,0,0.1796875,1,0.03,0.0,0.0
1664,1664,6656,-0.004139117896556854,8.292661666870117,1.9023213386535645,0.0007439972832798958,0.0,0.0001,31,18,21,11,9,25,13,0,0,0,0,0,0.2421875,1,0.03,0.0,0.0
1792,1792,7168,0.003987610340118408,6.854717254638672,1.9073727130889893,0.0003019282594323158,0.0,0.0001,29,17,20,13,16,21,12,0,0,0,0,0,0.2265625,1,0.03,0.0,0.0
1920,1920,7680,0.0011136308312416077,51.83754348754883,1.9100092649459839,7.203128188848495e-05,0.0,0.0001,20,19,18,13,21,29,8,0,0,0,0,0,0.2265625,1,0.03,0.0,0.0
2048,2048,8192,-0.0016225948929786682,10.213342666625977,1.9004745483398438,0.0006036460399627686,0.0,0.0001,29,22,21,9,15,25,7,0,0,0,0,0,0.2265625,1,0.03,0.0,0.0
2176,2176,8704,-0.0038899779319763184,46.556922912597656,1.8789949417114258,0.0025559356436133385,0.0625,0.0001,25,22,23,14,11,24,9,0,0,0,0,0,0.1953125,1,0.03,0.0,0.0
2304,2304,9216,-0.0011173486709594727,13.376026153564453,1.8389077186584473,0.0032701464369893074,0.0390625,0.0001,29,18,17,7,24,28,5,0,0,0,0,0,0.2265625,1,0.03,0.0,0.0
2432,2432,9728,0.007513668388128281,21.134531021118164,1.801776647567749,0.0014298930764198303,0.0234375,0.0001,27,23,19,5,13,34,7,0,0,0,0,0,0.265625,1,0.03,0.0,0.0
2560,2560,10240,0.00016982480883598328,13.25815200805664,1.8030965328216553,8.530449122190475e-05,0.0,0.0001,24,26,18,5,21,31,3,0,0,0,0,0,0.2421875,1,0.03,0.0,0.0
2688,2688,10752,-0.002438511699438095,6.678983688354492,1.8296387195587158,0.0016389572992920876,0.046875,0.0001,26,23,15,11,12,32,9,0,0,0,0,0,0.25,1,0.03,0.0,0.0
2816,2816,11264,-0.006004566326737404,4.209015369415283,1.8637690544128418,0.002056276425719261,0.04296875,0.0001,26,25,16,10,18,26,7,0,0,0,0,0,0.203125,1,0.03,0.0,0.0
2944,2944,11776,-0.009648077189922333,14.682450294494629,1.8931710720062256,0.003194795921444893,0.0390625,0.0001,24,19,15,10,21,29,10,0,0,0,0,0,0.2265625,1,0.03,0.0,0.0
3072,3072,12288,0.0027342960238456726,80.46372985839844,1.8969687223434448,0.000862661749124527,0.0,0.0001,21,16,26,6,25,22,12,0,0,0,0,0,0.203125,1,0.03,0.0,0.0
3200,3200,12800,-0.005522977560758591,20.522653579711914,1.8866066932678223,0.0008406145498156548,0.0,0.0001,24,18,22,12,17,28,7,0,0,0,0,0,0.21875,1,0.03,0.0,0.0
3328,3328,13312,0.004323879256844521,9.651795387268066,1.8745802640914917,0.0006020432338118553,0.0,0.0001,18,19,18,12,24,29,8,0,0,0,0,0,0.2265625,1,0.03,0.0,0.0
3456,3456,13824,0.0003551747649908066,5.396345138549805,1.8825336694717407,0.0003948677331209183,0.0,0.0001,25,18,13,12,21,30,9,0,0,0,0,0,0.234375,1,0.03,0.0,0.0
3584,3584,14336,0.0019886866211891174,81.34610748291016,1.8848371505737305,7.102824747562408e-05,0.0,0.0001,15,20,18,10,23,31,11,0,0,0,0,0,0.2421875,1,0.03,0.0,0.0
3712,3712,14848,-0.0017573460936546326,36.33245086669922,1.8729459047317505,0.00054954644292593,0.0,0.0001,17,26,18,10,18,27,12,0,0,0,0,0,0.2109375,1,0.03,0.0,0.0
3840,3840,15360,-0.0023452378809452057,42.822113037109375,1.8445279598236084,0.0014408575370907784,0.0234375,0.0001,20,16,31,5,22,29,5,0,0,0,0,0,0.2421875,1,0.03,0.0,0.0
