global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,episode_flag_get,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
197,197,788,0,197,788,569.0,0.0,569.0,665,665,437.6345177664975,0,14,0,1000000,3000,4
332,332,1328,1,135,540,586.0,0.0,586.0,670,670,317.6740740740741,0,14,0,1000000,3000,4
482,482,1928,2,150,600,638.0,0.0,638.0,722,723,459.52666666666664,0,15,0,1000000,3000,4
742,742,2968,3,260,1040,791.0,0.0,791.0,898,898,539.1038461538461,0,18,0,1000000,3000,4
2574,2574,10296,4,1832,7328,714.0,0.0,714.0,1137,1137,825.8231441048035,0,23,0,1000000,3000,4
2606,2606,10424,5,32,128,244.0,0.0,244.0,306,306,161.0625,0,7,0,1000000,3000,4
2645,2645,10580,6,39,156,238.0,0.0,238.0,303,303,153.89743589743588,0,7,0,1000000,3000,4
2706,2706,10824,7,61,244,199.0,0.0,199.0,268,268,159.4262295081967,0,6,0,1000000,3000,4
2864,2864,11456,8,158,632,795.0,0.0,795.0,883,883,495.8481012658228,0,18,0,1000000,3000,4
3241,3241,12964,9,377,1508,671.0,0.0,671.0,803,803,593.761273209549,0,17,0,1000000,3000,4
3675,3675,14700,10,434,1736,1009.0,0.0,1009.0,1153,1153,731.9723502304147,0,24,0,1000000,3000,4
3898,3898,15592,11,223,892,1330.0,0.0,1330.0,1432,1432,641.4843049327354,0,29,0,1000000,3000,4
3949,3949,15796,12,51,204,209.0,0.0,209.0,276,276,164.86274509803923,0,6,0,1000000,3000,4
4734,4734,18936,13,785,3140,1193.0,0.0,1193.0,1407,1407,833.3299363057325,0,29,0,1000000,3000,4
4886,4886,19544,14,152,608,637.0,0.0,637.0,722,722,511.82236842105266,0,15,0,1000000,3000,4
5477,5477,21908,15,591,2364,957.0,0.0,957.0,1131,1131,740.3181049069374,0,23,0,1000000,3000,4
5641,5641,22564,16,164,656,633.0,0.0,633.0,720,722,457.5487804878049,0,15,0,1000000,3000,4
5946,5946,23784,17,305,1220,1008.0,0.0,1008.0,1124,1124,685.9377049180328,0,23,0,1000000,3000,4
6343,6343,25372,18,397,1588,993.0,0.0,993.0,1129,1129,659.3828715365239,0,23,0,1000000,3000,4
6441,6441,25764,19,98,392,599.0,0.0,599.0,675,675,411.01020408163265,0,14,0,1000000,3000,4
6695,6695,26780,20,254,1016,1032.0,0.0,1032.0,1138,1138,675.6259842519685,0,23,0,1000000,3000,4
6858,6858,27432,21,163,652,728.0,0.0,728.0,817,817,481.87116564417175,0,17,0,1000000,3000,4
7166,7166,28664,22,308,1232,782.0,0.0,782.0,898,898,593.211038961039,0,18,0,1000000,3000,4
7201,7201,28804,23,35,140,248.0,0.0,248.0,312,312,149.45714285714286,0,7,0,1000000,3000,4
7318,7318,29272,24,117,468,595.0,0.0,595.0,675,675,388.36752136752136,0,14,0,1000000,3000,4
7563,7563,30252,25,245,980,1033.0,0.0,1033.0,1137,1137,680.2122448979592,0,23,0,1000000,3000,4
7687,7687,30748,26,124,496,603.0,0.0,603.0,684,684,379.25,0,14,0,1000000,3000,4
7723,7723,30892,27,36,144,235.0,0.0,235.0,298,298,164.55555555555554,0,6,0,1000000,3000,4
7762,7762,31048,28,39,156,232.0,0.0,232.0,296,296,161.89743589743588,0,6,0,1000000,3000,4
7852,7852,31408,29,90,360,635.0,0.0,635.0,709,709,363.1222222222222,0,15,0,1000000,3000,4
8069,8069,32276,30,217,868,800.0,0.0,800.0,898,898,586.741935483871,0,18,0,1000000,3000,4
8109,8109,32436,31,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
8146,8146,32584,32,37,148,234.0,0.0,234.0,298,298,164.54054054054055,0,6,0,1000000,3000,4
8268,8268,33072,33,122,488,589.0,0.0,589.0,670,670,385.4754098360656,0,14,0,1000000,3000,4
8307,8307,33228,34,39,156,231.0,0.0,231.0,295,295,163.02564102564102,0,6,0,1000000,3000,4
8347,8347,33388,35,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
8577,8577,34308,36,230,920,621.0,0.0,621.0,722,722,459.3521739130435,0,15,0,1000000,3000,4
8617,8617,34468,37,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
8657,8657,34628,38,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
8908,8908,35632,39,251,1004,1032.0,0.0,1032.0,1139,1139,612.8804780876494,0,23,0,1000000,3000,4
9052,9052,36208,40,144,576,583.0,0.0,583.0,668,668,397.4375,0,14,0,1000000,3000,4
9092,9092,36368,41,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
9132,9132,36528,42,40,160,230.0,0.0,230.0,295,295,159.85,0,6,0,1000000,3000,4
9177,9177,36708,43,45,180,218.0,0.0,218.0,283,283,168.2,0,6,0,1000000,3000,4
9307,9307,37228,44,130,520,578.0,0.0,578.0,661,661,397.8692307692308,0,14,0,1000000,3000,4
9347,9347,37388,45,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
9447,9447,37788,46,100,400,611.0,0.0,611.0,687,687,381.74,0,14,0,1000000,3000,4
9488,9488,37952,47,41,164,231.0,0.0,231.0,296,296,157.609756097561,0,6,0,1000000,3000,4
9711,9711,38844,48,223,892,1315.0,0.0,1315.0,1415,1415,741.286995515695,0,29,0,1000000,3000,4
9868,9868,39472,49,157,628,636.0,0.0,636.0,722,722,494.70063694267515,0,15,0,1000000,3000,4
9965,9965,39860,50,97,388,613.0,0.0,613.0,689,689,396.0515463917526,0,14,0,1000000,3000,4
10069,10069,40276,51,104,416,628.0,0.0,628.0,704,704,359.625,0,15,0,1000000,3000,4
10240,10240,40960,52,171,684,723.0,0.0,723.0,814,814,483.84795321637426,0,17,0,1000000,3000,4
10401,10401,41604,53,161,644,751.0,0.0,751.0,840,840,497.57142857142856,0,17,0,1000000,3000,4
11045,11045,44180,54,644,2576,954.0,0.0,954.0,1138,1138,786.2686335403727,0,23,0,1000000,3000,4
11244,11244,44976,55,199,796,1042.0,0.0,1042.0,1137,1137,639.4170854271357,0,23,0,1000000,3000,4
11285,11285,45140,56,41,164,230.0,0.0,230.0,295,295,159.5121951219512,0,6,0,1000000,3000,4
11559,11559,46236,57,274,1096,1015.0,0.0,1015.0,1125,1125,638.8941605839416,0,23,0,1000000,3000,4
11729,11729,46916,58,170,680,810.0,0.0,810.0,898,898,546.4941176470588,0,18,0,1000000,3000,4
11950,11950,47800,59,221,884,1027.0,0.0,1027.0,1126,1126,635.6561085972851,0,23,0,1000000,3000,4
11990,11990,47960,60,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
12212,12212,48848,61,222,888,1026.0,0.0,1026.0,1126,1126,630.518018018018,0,23,0,1000000,3000,4
12324,12324,49296,62,112,448,625.0,0.0,625.0,704,704,364.92857142857144,0,15,0,1000000,3000,4
12364,12364,49456,63,40,160,234.0,0.0,234.0,298,298,160.875,0,6,0,1000000,3000,4
12576,12576,50304,64,212,848,801.0,0.0,801.0,898,898,578.7594339622641,0,18,0,1000000,3000,4
12616,12616,50464,65,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
12656,12656,50624,66,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
12766,12766,51064,67,110,440,605.0,0.0,605.0,684,684,379.9727272727273,0,14,0,1000000,3000,4
12891,12891,51564,68,125,500,582.0,0.0,582.0,663,663,390.768,0,14,0,1000000,3000,4
13078,13078,52312,69,187,748,755.0,0.0,755.0,848,848,532.7486631016043,0,17,0,1000000,3000,4
13331,13331,53324,70,253,1012,1021.0,0.0,1021.0,1126,1126,605.7114624505929,0,23,0,1000000,3000,4
13558,13558,54232,71,227,908,1308.0,0.0,1308.0,1410,1410,735.7268722466961,0,29,0,1000000,3000,4
13665,13665,54660,72,107,428,615.0,0.0,615.0,693,693,375.5327102803738,0,14,0,1000000,3000,4
13705,13705,54820,73,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
13903,13903,55612,74,198,792,1042.0,0.0,1042.0,1138,1138,622.2323232323232,0,23,0,1000000,3000,4
14133,14133,56532,75,230,920,1308.0,0.0,1308.0,1409,1409,704.7130434782608,0,29,0,1000000,3000,4
14173,14173,56692,76,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
14406,14406,57624,77,233,932,1024.0,0.0,1024.0,1125,1125,652.8669527896996,0,23,0,1000000,3000,4
14515,14515,58060,78,109,436,611.0,0.0,611.0,689,689,378.6238532110092,0,14,0,1000000,3000,4
14555,14555,58220,79,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
14660,14660,58640,80,105,420,606.0,0.0,606.0,684,684,378.1904761904762,0,14,0,1000000,3000,4
14867,14867,59468,81,207,828,1029.0,0.0,1029.0,1126,1126,594.9565217391304,0,23,0,1000000,3000,4
14907,14907,59628,82,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
14950,14950,59800,83,43,172,226.0,0.0,226.0,290,290,165.53488372093022,0,6,0,1000000,3000,4
15122,15122,60488,84,172,688,1044.0,0.0,1044.0,1135,1135,586.2267441860465,0,23,0,1000000,3000,4
15299,15299,61196,85,177,708,578.0,0.0,578.0,670,670,405.7570621468927,0,14,0,1000000,3000,4
15420,15420,61680,86,121,484,601.0,0.0,601.0,682,682,387.3305785123967,0,14,0,1000000,3000,4
15460,15460,61840,87,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
15686,15686,62744,88,226,904,1036.0,0.0,1036.0,1138,1138,618.4955752212389,0,23,0,1000000,3000,4
15800,15800,63200,89,114,456,617.0,0.0,617.0,696,696,378.719298245614,0,14,0,1000000,3000,4
16023,16023,64092,90,223,892,1309.0,0.0,1309.0,1410,1410,705.0941704035874,0,29,0,1000000,3000,4
16066,16066,64264,91,43,172,226.0,0.0,226.0,290,290,165.53488372093022,0,6,0,1000000,3000,4
16106,16106,64424,92,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
16146,16146,64584,93,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
16186,16186,64744,94,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
16229,16229,64916,95,43,172,226.0,0.0,226.0,290,290,165.53488372093022,0,6,0,1000000,3000,4
16345,16345,65380,96,116,464,590.0,0.0,590.0,670,670,381.67241379310343,0,14,0,1000000,3000,4
16612,16612,66448,97,267,1068,1300.0,0.0,1300.0,1409,1409,737.7078651685393,0,29,0,1000000,3000,4
16812,16812,67248,98,200,800,1314.0,0.0,1314.0,1410,1410,716.965,0,29,0,1000000,3000,4
16999,16999,67996,99,187,748,1045.0,0.0,1045.0,1139,1139,592.0588235294117,0,23,0,1000000,3000,4
17102,17102,68408,100,103,412,627.0,0.0,627.0,704,704,363.6019417475728,0,15,0,1000000,3000,4
17142,17142,68568,101,40,160,231.0,0.0,231.0,296,296,160.55,0,6,0,1000000,3000,4
17241,17241,68964,102,99,396,629.0,0.0,629.0,705,705,365.83838383838383,0,15,0,1000000,3000,4
17357,17357,69428,103,116,464,608.0,0.0,608.0,687,687,375.3448275862069,0,14,0,1000000,3000,4
17397,17397,69588,104,40,160,230.0,0.0,230.0,295,295,160.1,0,6,0,1000000,3000,4
17514,17514,70056,105,117,468,604.0,0.0,604.0,684,684,384.7606837606838,0,14,0,1000000,3000,4
17554,17554,70216,106,40,160,230.0,0.0,230.0,295,295,160.275,0,6,0,1000000,3000,4
17595,17595,70380,107,41,164,230.0,0.0,230.0,295,295,157.1219512195122,0,6,0,1000000,3000,4
17701,17701,70804,108,106,424,627.0,0.0,627.0,705,705,369.70754716981133,0,15,0,1000000,3000,4
17859,17859,71436,109,158,632,731.0,0.0,731.0,819,819,477.3607594936709,0,17,0,1000000,3000,4
