global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,-0.0068089962005615234,60.2137451171875,1.9457404613494873,0.00017981510609388351,0.0,0.0001,16,14,20,20,18,18,22,0,0,0,0,0,0.171875,1,0.03,0.0007037480772851268,0.09007975389249623
256,256,1024,-0.0035746917128562927,22.45400619506836,1.9446061849594116,0.0003875400871038437,0.0,0.0001,18,19,14,22,12,21,22,0,0,0,0,0,0.171875,1,0.03,0.0001937316853855009,0.024797655729344115
384,384,1536,-0.01139557734131813,60.44353485107422,1.9401326179504395,0.0012452704831957817,0.0,0.0001,20,18,18,18,20,19,15,0,0,0,0,0,0.15625,1,0.03,7.01846194317568e-05,0.00898363128726487
512,512,2048,-0.00023271888494491577,14.927766799926758,1.9248002767562866,0.0031595639884471893,0.06640625,0.0001,26,17,9,16,28,16,16,0,0,0,0,0,0.21875,1,0.03,3.427287188628725e-05,0.004386927601444768
640,640,2560,0.00484059751033783,6.031810760498047,1.893549919128418,0.004008178599178791,0.078125,0.0001,18,18,18,12,17,26,19,0,0,0,0,0,0.203125,1,0.03,2.342995884418997e-05,0.002999034732056316
768,768,3072,0.01025247573852539,12.450775146484375,1.859553575515747,0.0027825646102428436,0.1015625,0.0001,12,12,28,20,11,33,12,0,0,0,0,0,0.2578125,1,0.03,1.73361088116053e-05,0.0022190219278854784
896,896,3584,-0.008360370993614197,20.646190643310547,1.8480637073516846,0.0024242019280791283,0.04296875,0.0001,6,14,18,30,17,31,12,0,0,0,0,0,0.2421875,1,0.03,1.4024392463340973e-05,0.0017951222353076446
1024,1024,4096,0.0010152719914913177,18.745464324951172,1.852839469909668,0.0009267441928386688,0.0,0.0001,14,12,24,21,16,31,10,0,0,0,0,0,0.2421875,1,0.03,1.265481071754948e-05,0.0016198157718463335
1152,1152,4608,0.011062264442443848,8.854575157165527,1.8738059997558594,0.001156841404736042,0.0,0.0001,11,7,15,31,18,26,20,0,0,0,0,0,0.2421875,1,0.03,1.4265725738482615e-05,0.0018260128945257748
1280,1280,5120,0.004636719822883606,4.163383960723877,1.893370509147644,0.0009718649089336395,0.0,0.0001,16,9,22,28,24,17,12,0,0,0,0,0,0.21875,1,0.03,1.5380677048426605e-05,0.0019687266621986055
1408,1408,5632,-0.0028842128813266754,9.301822662353516,1.9060945510864258,0.0009178435429930687,0.0,0.0001,16,21,14,22,23,20,12,0,0,0,0,0,0.1796875,1,0.03,1.2549813114048902e-05,0.0016063760785982595
1536,1536,6144,0.0027342289686203003,3.3208186626434326,1.9134752750396729,0.00040542054921388626,0.0,0.0001,10,9,16,33,15,21,24,0,0,0,0,0,0.2578125,1,0.03,9.368968449052772e-06,0.0011992279614787549
1664,1664,6656,0.004979744553565979,4.366428852081299,1.9252657890319824,0.0007861834019422531,0.0,0.0001,16,18,20,18,14,23,19,0,0,0,0,0,0.1796875,1,0.03,8.089671769795359e-06,0.001035477986533806
1792,1792,7168,-0.0006161127239465714,2.923161029815674,1.934537410736084,0.0009731994941830635,0.0,0.0001,20,13,14,32,21,19,9,0,0,0,0,0,0.25,1,0.03,7.621733576712586e-06,0.000975581897819211
1920,1920,7680,0.0015580784529447556,2.0221476554870605,1.9410499334335327,0.0007583359256386757,0.0,0.0001,10,17,15,23,19,25,19,0,0,0,0,0,0.1953125,1,0.03,7.473096662380385e-06,0.0009565563727846893
2048,2048,8192,0.0006890371441841125,4.337789535522461,1.9445099830627441,0.0006229132413864136,0.0,0.0001,23,21,15,23,15,16,15,0,0,0,0,0,0.1796875,1,0.03,7.492785826457293e-06,0.0009590765857865335
2176,2176,8704,0.0038916170597076416,3.252150535583496,1.9456980228424072,0.0002672327682375908,0.0,0.0001,15,14,21,17,19,24,18,0,0,0,0,0,0.1875,1,0.03,7.393005084566084e-06,0.0009463046508244588
2304,2304,9216,-0.0002317577600479126,3.376246452331543,1.9458627700805664,2.2727996110916138e-05,0.0,0.0001,24,16,24,16,14,18,16,0,0,0,0,0,0.1875,1,0.03,6.779485655528106e-06,0.0008677741639075975
2432,2432,9728,-0.0011133663356304169,4.033951282501221,1.945762038230896,3.0122697353363037e-05,0.0,0.0001,8,27,25,22,20,14,12,0,0,0,0,0,0.2109375,1,0.03,6.102282252840041e-06,0.0007810921283635253
2560,2560,10240,0.0006428547203540802,11.360733032226562,1.9454357624053955,4.009902477264404e-05,0.0,0.0001,20,17,16,10,21,22,22,0,0,0,0,0,0.171875,1,0.03,5.988773388310165e-06,0.0007665629937037011
2688,2688,10752,-0.0009422861039638519,85.7064208984375,1.9453587532043457,5.695968866348267e-06,0.0,0.0001,18,20,17,17,21,17,18,0,0,0,0,0,0.1640625,1,0.03,8.134367316614544e-06,0.0010411990165266616
2816,2816,11264,-1.9565224647521973e-05,68.12884521484375,1.9454742670059204,1.2034550309181213e-05,0.0,0.0001,13,21,22,23,14,13,22,0,0,0,0,0,0.1796875,1,0.03,7.753361987994367e-06,0.000992430334463279
2944,2944,11776,-0.001655861735343933,83.90656280517578,1.9456255435943604,1.7599202692508698e-05,0.0,0.0001,17,14,19,12,24,23,19,0,0,0,0,0,0.1875,1,0.03,7.101719933899631e-06,0.0009090201515391527
3072,3072,12288,-0.002082495018839836,29.480764389038086,1.94563627243042,5.6084245443344116e-05,0.0,0.0001,17,16,27,23,18,16,11,0,0,0,0,0,0.2109375,1,0.03,6.452831783576585e-06,0.0008259624682978028
3200,3200,12800,-0.001535080373287201,6.6214070320129395,1.945375680923462,5.741044878959656e-05,0.0,0.0001,15,18,14,23,19,24,15,0,0,0,0,0,0.1875,1,0.03,5.296870444482238e-06,0.0006779994168937264
3328,3328,13312,-0.0003665611147880554,53.78692626953125,1.9450069665908813,3.784056752920151e-05,0.0,0.0001,17,21,18,18,17,20,17,0,0,0,0,0,0.1640625,1,0.03,5.203923009844402e-06,0.0006661021452600835
3456,3456,13824,-0.0012369751930236816,26.977828979492188,1.9440691471099854,0.00012619886547327042,0.0,0.0001,16,16,18,24,19,21,14,0,0,0,0,0,0.1875,1,0.03,5.7216163042994594e-06,0.0007323668869503308
3584,3584,14336,-0.00035788677632808685,5.928223609924316,1.9427130222320557,8.299853652715683e-05,0.0,0.0001,13,32,13,16,16,19,19,0,0,0,0,0,0.25,1,0.03,5.479004716590907e-06,0.0007013126037236361
3712,3712,14848,-0.0004683472216129303,39.53071975708008,1.9414321184158325,8.52290540933609e-05,0.0,0.0001,20,21,21,16,17,14,19,0,0,0,0,0,0.1640625,1,0.03,5.551392874281191e-06,0.0007105782879079925
3840,3840,15360,-0.0010841004550457,49.3721809387207,1.938563346862793,0.0002141818404197693,0.0,0.0001,19,22,23,11,17,21,15,0,0,0,0,0,0.1796875,1,0.03,5.323301696336102e-06,0.0006813826171310211
3968,3968,15872,-0.00021566450595855713,76.84490966796875,1.9326468706130981,0.0004915744066238403,0.0,0.0001,22,17,21,21,21,11,15,0,0,0,0,0,0.171875,1,0.03,5.237674287172922e-06,0.000670422308758134
4096,4096,16384,0.004351094365119934,36.458152770996094,1.9214813709259033,0.001109011471271515,0.0,0.0001,18,19,28,18,22,14,9,0,0,0,0,0,0.21875,1,0.03,4.918484677318702e-06,0.0006295660386967938
4224,4224,16896,-0.013292260468006134,14.440498352050781,1.8969905376434326,0.003549632616341114,0.1015625,0.0001,20,23,25,20,19,12,9,0,0,0,0,0,0.1953125,1,0.03,4.683925274306944e-06,0.0005995424351112888
4352,4352,17408,0.004452541470527649,9.095170974731445,1.883827567100525,0.0008395183831453323,0.0,0.0001,16,26,30,14,19,18,5,0,0,0,0,0,0.234375,1,0.03,4.453098169321379e-06,0.0005699965656731365
4480,4480,17920,-0.004660066217184067,6.848061561584473,1.8880383968353271,0.0002852855250239372,0.0,0.0001,18,20,38,18,15,13,6,0,0,0,0,0,0.296875,1,0.03,6.1622945999317835e-06,0.0007887737087912683
4608,4608,18432,0.004946082830429077,4.998092174530029,1.9021824598312378,0.0006540650501847267,0.0,0.0001,17,29,26,14,18,10,14,0,0,0,0,0,0.2265625,1,0.03,9.780839043571632e-06,0.0012519473975771689
4736,4736,18944,-0.004071980714797974,46.139892578125,1.9100416898727417,0.0001396453008055687,0.0,0.0001,18,18,27,15,28,9,13,0,0,0,0,0,0.21875,1,0.03,1.3563412572636935e-05,0.0017361168092975277
4864,4864,19456,-0.0008325353264808655,70.43199157714844,1.906948208808899,6.668455898761749e-05,0.0,0.0001,23,21,23,18,23,11,9,0,0,0,0,0,0.1796875,1,0.03,1.5299108419242202e-05,0.001958285877663002
4992,4992,19968,-0.00474335253238678,47.29108428955078,1.8952125310897827,0.0005599679425358772,0.0,0.0001,17,21,26,17,21,11,15,0,0,0,0,0,0.203125,1,0.03,1.4069618799794625e-05,0.001800911206373712
5120,5120,20480,-0.001348748803138733,10.502538681030273,1.8835093975067139,0.0003851084038615227,0.0,0.0001,17,20,24,15,22,16,14,0,0,0,0,0,0.1875,1,0.03,1.2413057113747072e-05,0.0015888713105596253
5248,5248,20992,-0.00160294771194458,8.717214584350586,1.8893827199935913,0.0002778768539428711,0.0,0.0001,19,23,39,16,14,8,9,0,0,0,0,0,0.3046875,1,0.03,8.334091653239284e-06,0.0010667637316146283
5376,5376,21504,-0.00235661119222641,6.100321292877197,1.9022486209869385,0.0006583444774150848,0.0,0.0001,25,27,25,11,23,11,6,0,0,0,0,0,0.2109375,1,0.03,7.122537088122272e-06,0.0009116847472796508
5504,5504,22016,-0.0021679066121578217,22.473295211791992,1.909858226776123,0.00020501390099525452,0.0,0.0001,17,22,26,11,24,14,14,0,0,0,0,0,0.203125,1,0.03,9.126590107655375e-06,0.001168203533779888
